Sample	City	CMP-Legionaminate-Biosynthesis	CMP-N-Acetylneuraminate-Biosynthesis	CMP-pseudaminate biosynthesis	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	gibberellin biosynthesis II (early C-3 hydroxylation)	gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>)	gibberellin biosynthesis V	inosine-5'-phosphate biosynthesis I	inosine-5'-phosphate biosynthesis II	inosine-5'-phosphate biosynthesis III
CAMDA23_MetaSUB_gCSD16_AKL_1	AKL	24.333333333333332	0.0	1.3333333333333333	1.0	1.0	1.5714285714285714	1.0	5.25	0.0	5.25
CAMDA23_MetaSUB_gCSD16_AKL_10	AKL	31.433333333333334	1.0	2.75	7.0	7.0	6.428571428571429	7.0	11.5	0.0	11.5
CAMDA23_MetaSUB_gCSD16_AKL_11	AKL	17.5	0.0	0.0	3.0	3.0	3.857142857142857	3.0	6.0	0.0	6.0
CAMDA23_MetaSUB_gCSD16_AKL_12	AKL	16.666666666666668	0.0	1.0	1.0	1.0	1.8571428571428568	1.0	6.0	7.333333333333333	6.0
CAMDA23_MetaSUB_gCSD16_AKL_13	AKL	9.11111111111111	0.0	1.0	1.0	1.0	1.8571428571428568	1.0	3.0	0.0	3.0
CAMDA23_MetaSUB_gCSD16_AKL_14	AKL	32.5	0.0	2.0	7.0	7.0	6.714285714285714	7.0	9.75	0.0	9.75
CAMDA23_MetaSUB_gCSD16_AKL_2	AKL	5.875	0.0	1.0	2.0	2.0	0.0	2.0	1.0	0.0	1.0
CAMDA23_MetaSUB_gCSD16_AKL_3	AKL	23.1	0.0	0.0	2.0	2.0	4.857142857142857	2.0	5.5	0.0	5.5
CAMDA23_MetaSUB_gCSD16_AKL_4	AKL	22.22222222222222	0.0	1.0	8.0	8.0	7.714285714285714	8.0	8.75	0.0	8.75
CAMDA23_MetaSUB_gCSD16_AKL_5	AKL	13.25	0.0	1.0	0.0	0.0	0.0	0.0	3.25	0.0	3.25
CAMDA23_MetaSUB_gCSD16_AKL_6	AKL	16.88888888888889	0.0	1.0	5.0	5.0	4.428571428571429	5.0	5.0	0.0	5.0
CAMDA23_MetaSUB_gCSD16_AKL_7	AKL	12.625	0.0	0.0	3.0	3.0	3.0	3.0	3.75	0.0	3.75
CAMDA23_MetaSUB_gCSD16_AKL_8	AKL	11.5	0.0	0.0	3.0	3.0	3.0	3.0	4.25	0.0	4.25
CAMDA23_MetaSUB_gCSD16_AKL_9	AKL	19.55555555555556	0.0	1.0	1.0	1.0	2.7142857142857144	1.0	7.0	0.0	7.0
CAMDA23_MetaSUB_gCSD16_BER_1	BER	4.285714285714286	0.0	0.0	1.0	1.0	1.5714285714285714	1.0	1.75	0.0	1.75
CAMDA23_MetaSUB_gCSD16_BER_10	BER	33.0	0.0	1.3333333333333333	7.0	7.0	7.571428571428571	7.0	19.6	17.666666666666668	19.6
CAMDA23_MetaSUB_gCSD16_BER_11	BER	12.125	0.0	1.0	3.0	3.0	10.714285714285714	3.0	6.8	5.25	6.8
CAMDA23_MetaSUB_gCSD16_BER_12	BER	43.55555555555556	3.0	1.5	3.0	3.0	7.0	3.0	18.8	14.0	18.8
CAMDA23_MetaSUB_gCSD16_BER_13	BER	26.25	0.0	0.0	3.0	3.0	5.571428571428571	3.0	11.0	8.0	11.0
CAMDA23_MetaSUB_gCSD16_BER_14	BER	42.4	4.0	2.0	4.0	4.0	4.857142857142857	4.0	20.2	17.333333333333332	20.2
CAMDA23_MetaSUB_gCSD16_BER_15	BER	82.3	0.0	3.0	15.0	15.0	14.142857142857142	15.0	24.8	21.0	24.8
CAMDA23_MetaSUB_gCSD16_BER_2	BER	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	1.25
CAMDA23_MetaSUB_gCSD16_BER_3	BER	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAMDA23_MetaSUB_gCSD16_BER_4	BER	3.25	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	2.5
