Sample	City	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	CMP-legionaminate biosynthesis I	CMP-legionaminate biosynthesis II
CAMDA23_MetaSUB_gCSD16_AKL_1	AKL	0.0	0.0	23.0	1.3333333333333333
CAMDA23_MetaSUB_gCSD16_AKL_10	AKL	1.0	0.0	30.1	1.3333333333333333
CAMDA23_MetaSUB_gCSD16_AKL_11	AKL	0.0	0.0	17.5	0.0
CAMDA23_MetaSUB_gCSD16_AKL_12	AKL	0.0	0.0	15.0	1.6666666666666667
CAMDA23_MetaSUB_gCSD16_AKL_13	AKL	0.0	0.0	9.11111111111111	0.0
CAMDA23_MetaSUB_gCSD16_AKL_14	AKL	0.0	0.0	30.5	2.0
CAMDA23_MetaSUB_gCSD16_AKL_2	AKL	0.0	0.0	5.875	0.0
CAMDA23_MetaSUB_gCSD16_AKL_3	AKL	0.0	0.0	22.1	1.0
CAMDA23_MetaSUB_gCSD16_AKL_4	AKL	0.0	0.0	22.22222222222222	0.0
CAMDA23_MetaSUB_gCSD16_AKL_5	AKL	0.0	0.0	13.25	0.0
CAMDA23_MetaSUB_gCSD16_AKL_6	AKL	0.0	0.0	16.88888888888889	0.0
CAMDA23_MetaSUB_gCSD16_AKL_7	AKL	0.0	0.0	12.625	0.0
CAMDA23_MetaSUB_gCSD16_AKL_8	AKL	0.0	0.0	11.5	0.0
CAMDA23_MetaSUB_gCSD16_AKL_9	AKL	0.0	0.0	19.55555555555556	0.0
CAMDA23_MetaSUB_gCSD16_BER_1	BER	0.0	0.0	4.285714285714286	0.0
CAMDA23_MetaSUB_gCSD16_BER_10	BER	0.0	0.0	32.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_11	BER	0.0	0.0	12.125	0.0
CAMDA23_MetaSUB_gCSD16_BER_12	BER	3.0	0.0	43.55555555555556	0.0
CAMDA23_MetaSUB_gCSD16_BER_13	BER	0.0	0.0	26.25	0.0
CAMDA23_MetaSUB_gCSD16_BER_14	BER	4.0	0.0	40.9	1.5
CAMDA23_MetaSUB_gCSD16_BER_15	BER	0.0	0.0	79.3	3.0
CAMDA23_MetaSUB_gCSD16_BER_2	BER	0.0	0.0	2.0	0.0
CAMDA23_MetaSUB_gCSD16_BER_3	BER	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_BER_4	BER	0.0	0.0	3.25	0.0
CAMDA23_MetaSUB_gCSD16_BER_5	BER	0.0	0.0	9.571428571428571	0.0
CAMDA23_MetaSUB_gCSD16_BER_6	BER	0.0	0.0	1.1666666666666667	0.0
CAMDA23_MetaSUB_gCSD16_BER_7	BER	0.0	0.0	1.5	0.0
CAMDA23_MetaSUB_gCSD16_BER_8	BER	0.0	0.0	20.0	0.0
CAMDA23_MetaSUB_gCSD16_BER_9	BER	3.0	3.0	69.5	2.0
CAMDA23_MetaSUB_gCSD16_BOG_1	BOG	7.0	0.0	114.4	3.6666666666666665
CAMDA23_MetaSUB_gCSD16_BOG_10	BOG	9.0	0.0	102.3	2.0
CAMDA23_MetaSUB_gCSD16_BOG_11	BOG	0.0	0.0	49.66666666666666	0.0
CAMDA23_MetaSUB_gCSD16_BOG_12	BOG	0.0	0.0	66.44444444444444	1.0
CAMDA23_MetaSUB_gCSD16_BOG_13	BOG	0.0	0.0	75.3	1.5
CAMDA23_MetaSUB_gCSD16_BOG_14	BOG	5.5	0.0	131.4	4.0
CAMDA23_MetaSUB_gCSD16_BOG_15	BOG	0.0	0.0	79.55555555555556	1.5
CAMDA23_MetaSUB_gCSD16_BOG_16	BOG	2.5	0.0	91.11111111111111	1.0
CAMDA23_MetaSUB_gCSD16_BOG_2	BOG	4.5	0.0	83.2	1.0
CAMDA23_MetaSUB_gCSD16_BOG_3	BOG	6.0	0.0	109.9	3.333333333333333
CAMDA23_MetaSUB_gCSD16_BOG_4	BOG	0.0	0.0	59.125	0.0
CAMDA23_MetaSUB_gCSD16_BOG_5	BOG	6.0	1.0	117.2	3.333333333333333
CAMDA23_MetaSUB_gCSD16_BOG_6	BOG	0.0	0.0	76.5	2.0
CAMDA23_MetaSUB_gCSD16_BOG_8	BOG	0.0	0.0	68.0	1.5
CAMDA23_MetaSUB_gCSD16_BOG_9	BOG	3.0	0.0	42.77777777777778	0.0
CAMDA23_MetaSUB_gCSD16_DEN_1	DEN	0.0	0.0	2.125	0.0
CAMDA23_MetaSUB_gCSD16_DEN_13	DEN	0.0	0.0	4.0	0.0
CAMDA23_MetaSUB_gCSD16_DEN_14	DEN	0.0	0.0	2.6666666666666665	0.0
CAMDA23_MetaSUB_gCSD16_DEN_15	DEN	0.0	0.0	4.571428571428571	0.0
CAMDA23_MetaSUB_gCSD16_DEN_17	DEN	0.0	0.0	2.0	0.0
CAMDA23_MetaSUB_gCSD16_DEN_21	DEN	0.0	0.0	4.25	0.0
CAMDA23_MetaSUB_gCSD16_DEN_5	DEN	0.0	0.0	2.6666666666666665	0.0
CAMDA23_MetaSUB_gCSD16_DEN_7	DEN	0.0	0.0	15.375	0.0
CAMDA23_MetaSUB_gCSD16_DOH_1	DOH	0.0	0.0	2.142857142857143	0.0
CAMDA23_MetaSUB_gCSD16_DOH_10	DOH	0.0	0.0	1.3333333333333333	0.0
CAMDA23_MetaSUB_gCSD16_DOH_12	DOH	0.0	0.0	15.0	0.0
