Sample	City	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	CMP-legionaminate biosynthesis I	CMP-legionaminate biosynthesis II
CAMDA23_MetaSUB_gCSD16_AKL_1	AKL	0.0	0.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_AKL_10	AKL	1.0	0.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_AKL_11	AKL	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_AKL_12	AKL	0.0	0.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_AKL_13	AKL	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_AKL_14	AKL	0.0	0.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_AKL_2	AKL	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_AKL_3	AKL	0.0	0.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_AKL_4	AKL	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_AKL_5	AKL	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_AKL_6	AKL	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_AKL_7	AKL	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_AKL_8	AKL	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_AKL_9	AKL	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_BER_1	BER	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_BER_10	BER	0.0	0.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_11	BER	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_BER_12	BER	1.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_BER_13	BER	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_BER_14	BER	1.0	0.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_15	BER	0.0	0.0	1.0	1.0
