Sample	City	Taxon	2-Aminoethylphosphonate-Degradation	Activation-Inactivation-Interconversion	All-Trans-Farnesyl-PP-Biosynthesis	Biosynthesis	Degradation	Detoxification	Energy-Metabolism	Fermentation	Metabolic-Clusters	Photosynthesis	Respiration	Super-Pathways
BAL_En	BAL	En	0.0	2.5	0.0	81.32608695652173	29.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0
BAL_Es	BAL	Es	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BAL_Kl	BAL	Kl	0.0	0.0	0.0	78.0	34.0	1.0	3.0	2.0	0.0	0.0	4.0	0.0
DEN_En	DEN	En	0.0	0.0	0.0	40.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
DEN_Es	DEN	Es	0.0	0.0	0.0	8.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
DEN_Kl	DEN	Kl	3.333333333333333	16.75	1.0	1514.4019825585042	688.5952380952381	8.0	46.503571428571426	45.236111111111114	10.666666666666668	5.666666666666667	25.666666666666664	8.0
MIN_En	MIN	En	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
MIN_Es	MIN	Es	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIN_Kl	MIN	Kl	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NYC_En	NYC	En	11.0	82.33333333333334	5.0	7941.579048242206	3257.9340936840936	58.5	331.53329725829724	261.8666666666667	59.111111111111114	21.73809523809524	135.03333333333333	38.7
NYC_Es	NYC	Es	1.0	9.333333333333332	1.0	756.3444599919982	298.71666666666664	6.0	29.85	31.376190476190477	9.444444444444445	1.5	21.0	2.166666666666667
NYC_Kl	NYC	Kl	3.666666666666667	31.666666666666664	1.5	2912.5061646930067	1322.0945526695527	27.75	130.13098845598844	104.8076923076923	19.61111111111111	7.857142857142857	56.5	12.55
SAC_En	SAC	En	0.0	0.0	0.0	68.0	25.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0
SAC_Es	SAC	Es	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAC_Kl	SAC	Kl	0.0	0.0	0.0	4.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SAN_En	SAN	En	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SAN_Es	SAN	Es	0.0	0.0	0.0	95.59615384615384	44.0	1.0	2.0	11.166666666666668	1.0	0.0	1.0	2.0
SAN_Kl	SAN	Kl	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
