	City	Taxon	1	2	3	4	5	6	7
BAL_En	BAL	En	46.0	82.0	63.0	27.0	21.0	21.0	12.0
BAL_Es	BAL	Es	0.0	4.0	4.0	3.0	3.0	0.0	0.0
BAL_Kl	BAL	Kl	74.0	143.0	85.0	38.0	38.0	33.0	19.0
DEN_En	DEN	En	13.0	17.0	11.0	4.0	7.0	5.0	3.0
DEN_Es	DEN	Es	7.0	9.0	8.0	4.0	3.0	5.0	1.0
DEN_Kl	DEN	Kl	447.0	741.0	545.0	282.0	200.0	192.0	133.0
MIN_En	MIN	En	7.0	5.0	5.0	1.0	1.0	2.0	0.0
MIN_Es	MIN	Es	0.0	0.0	4.0	1.0	0.0	0.0	0.0
MIN_Kl	MIN	Kl	3.0	5.0	3.0	1.0	0.0	1.0	2.0
NYC_En	NYC	En	983.0	2211.0	1427.0	690.0	522.0	667.0	302.0
NYC_Es	NYC	Es	198.0	433.0	275.0	125.0	80.0	82.0	47.0
NYC_Kl	NYC	Kl	666.0	1092.0	748.0	397.0	252.0	294.0	172.0
SAC_En	SAC	En	27.0	66.0	41.0	18.0	20.0	18.0	7.0
SAC_Es	SAC	Es	2.0	8.0	3.0	7.0	2.0	1.0	1.0
SAC_Kl	SAC	Kl	11.0	13.0	17.0	5.0	9.0	10.0	3.0
SAN_En	SAN	En	4.0	5.0	2.0	2.0	1.0	0.0	2.0
SAN_Es	SAN	Es	71.0	139.0	94.0	45.0	31.0	36.0	15.0
SAN_Kl	SAN	Kl	9.0	9.0	3.0	2.0	0.0	3.0	2.0
