	City	Taxon	1	2	3	4	5	6	7
BAL_En	BAL	En	31.0	65.0	58.0	23.0	16.0	15.0	8.0
BAL_Es	BAL	Es	0.0	1.0	2.0	0.0	0.0	1.0	0.0
BAL_Kl	BAL	Kl	57.0	123.0	82.0	42.0	41.0	47.0	20.0
DEN_En	DEN	En	6.0	12.0	10.0	2.0	1.0	2.0	3.0
DEN_Es	DEN	Es	2.0	1.0	3.0	0.0	0.0	2.0	0.0
DEN_Kl	DEN	Kl	417.0	708.0	551.0	278.0	183.0	178.0	120.0
MIN_En	MIN	En	2.0	1.0	1.0	0.0	1.0	0.0	0.0
MIN_Es	MIN	Es	0.0	0.0	0.0	1.0	0.0	0.0	0.0
MIN_Kl	MIN	Kl	1.0	3.0	1.0	0.0	0.0	0.0	2.0
NYC_En	NYC	En	1293.0	2605.0	1737.0	781.0	602.0	684.0	346.0
NYC_Es	NYC	Es	203.0	386.0	243.0	129.0	96.0	83.0	34.0
NYC_Kl	NYC	Kl	921.0	1575.0	1155.0	566.0	382.0	405.0	203.0
SAC_En	SAC	En	8.0	18.0	11.0	4.0	6.0	8.0	6.0
SAC_Es	SAC	Es	0.0	0.0	0.0	1.0	0.0	0.0	1.0
SAC_Kl	SAC	Kl	2.0	3.0	1.0	0.0	0.0	0.0	1.0
SAN_En	SAN	En	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SAN_Es	SAN	Es	33.0	55.0	42.0	27.0	21.0	16.0	8.0
SAN_Kl	SAN	Kl	2.0	0.0	0.0	0.0	0.0	0.0	0.0
