ID,ID_city,City,Year,Latitude,Longitude,Climate,X469,X316,X543,X40324,X22,X662,X2745,X642,X729,X3019969,X2303332,X262,X1760988,X446,X2718,X1675686,X2183911,X2303331,X1561924,X1196095,X1810504,X288000,X13690,X41275,X59779,X193,X1873716,X2029849,X2950108,X1526572,X2582913,X86106,X1124597,X2861282,X490,X85643,X2732067,X33059,X297,X343874,X2482728,X2596915,X165179,X2681766,X2502779,X2350,X2875962,X274537,X591197,X861299,X833,X1280,X28037,X29370,X1754,X2682810,X100886,X437897,X29466,X33025,X1260,X1270,X1883,X38304,X2070,X1747,X1873,X1909395,X544580,X2851567,X1798224,X298654,X53461,X2944128,X304895,X414996,X283811,X1891644,X28049,X131568,X74426,X2884022,X29539,X2843216,X49319,X2722752,X1670831,X1608957,X1670830,X2853227,X2005460,X119532,X1219,X1416614,X102116,X1188228,X2132,X2782163,X980427,X270,X332249,X133453,X3004094,X120962,X2509675,X1806508,X167964,X2057,X500,X1005039,X84405,X1636152,X2528023,X2527974,X547188,X2807512,X174633,X239935,X1882749,X2866311,X225148,X1307763,X56,X2995304,X80816,X83451,X876,X2802975,X35554,X894,X83564,X1295609,X119484,X1621989,X158,X52584,X2828656,X2984951,X1236046,X851,X392734,X2818388,X981385,X2802971,X651822,X959,X2493639,X960,X2292766,X673862,X42253,X28262,X197162,X14,X693075,X1408281,X9606,X179637,X2743089,X1644061,X2208,X2263,X2173,X39152,X41673,X1353260,X1673428,X1291540,X2586965,X592206,X1457365,X2732593,X2161677,X1388755,X416213,X1921086,X2702,X84112,X2742683,X1555112,X1752064,X33070,X155894,X29552,X2098,X61435,X454171,X2650471,X1936003,X2596890,X431057,X2697043,X1658616,X316277,X453230,X60893,X28198,X28182,X1473598,X2421,X309806,X423605,X35786,X2899133,X1332188,X187145,X936456,X301375,X2874846,X683846,X1582439,X985782,X129951,X2713640,X1884905,X499229,X2751313,X2102,X2710758,X2358,X291048,X1441386,X2735562,X64160,X2847778,X13642,X45989,X1175445,X2320,X1316941,X2933293,X184117,X56636,X200415,X498374,X1874277,X2565781,X2955413,X2023057,X2560356,X1457141,X2282148,X2011088,X2919598,X56947,X3708,X2776706,X2955582,X2843389,X10376,X10279,X10497,X2704413,X2049890,X119164,X290028,X2734494,X1972584,X1177751,X337051,X1891726,X157897,X31742,X1640277,X1557034,X1285589,X2056780,X1080349,X2956190,X2955320,X2732655,X2734333,X2843841,X2170111,X2846071,X2508254,X2956616,X2845804,X2955242,X44689,X67476,X269145,X2746926,X1655646,X35279,X2170045,X1891704,X2170145,X2507500,X2220003,X1352511,X341938,X2844505,X2169857,X1983561,X2845619,X2956349,X2560654,X1856767,X12639,X2560744,X2843923,X1634476
CAMDA23_MetaSUB_gCSD16_AKL_10,AKL,Auckland,16,-36.75,174.75,Cfb,1518705,9586,10109,9735,1370,1215,908,394,221,208,195,171,103,103,36,20,17,17,13,12,3,289778,29529,21994,5921,2606,80,41,20,19,18,7,2,21855,556,374,198,30,2,975090,1933,1001,526,25,413,18,2,26,8,20,1,425213,1547,137473,112,6,64,41,19,2,45,17805,12791,2054,763,779,643,267,149,117,60,49,32,20,17,12,11,5,2,1,21,41,8,8,54,50,9,3,3,208,102,61,114,41,12,11,42,1,126,31,2,17,12,5,5,5,2,9,2,3,1,72,69,32,11,6,2,39,12,4,5,11,171,33,7,192,115,58,42,45,40,26,9,3,179,25,3,20,6,98,56,12,5,13,33,12,10,6,17,4,7,1,7,3,2,1,4073,145,129,99,17,27,17,8,32,3,31,1,2,4,0,67,12,14,0,0,47,48,4,0,71,0,2,10,37,0,0,112,1,0,0,0,0,0,0,0,401,29,0,62,1,0,0,0,0,0,0,1,0,0,1,2,0,1,3,3,0,89,0,0,17,0,0,1,0,0,4,6,0,1,0,1,2,0,0,0,0,1,0,0,12,0,0,0,8,0,0,1,0,7,19,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMDA23_MetaSUB_gCSD16_AKL_11,AKL,Auckland,16,-36.75,174.75,Cfb,43804,16484,14888,6788,3044,2252,3070,821,575,698,1199,668,606,639,135,35,16,77,109,97,26,453278,10490,25178,10012,5093,132,122,29,16,67,43,7,14931,1818,935,1000,114,2,477169,832859,6671,2083,290,3992,99,10,39,56,58,2,8942,1343,1986,140,72,72,65,56,42,125,34344,6458,4323,1719,1682,1477,683,386,142,83,181,45,27,44,3,30,29,4,51,106,106,2,13,60,108,1,3,12,857,165,225,281,32,52,0,92,0,287,57,5,4,4,17,5,15,18,7,4,0,0,209,98,127,23,16,2,122,69,5,17,12,257,25,54,361,341,83,284,110,123,23,0,18,181,110,6,92,7,177,211,5,0,61,20,125,14,46,9,0,22,13,12,7,1,9,5688,299,214,253,143,47,130,39,33,1,20,2,0,0,22,108,81,52,6,4,237,67,12,12,154,6,3,33,70,5,1,239,39,45,6,2,12,27,6,1,800,137,17,38,40,11,10,3,1,3,1,11,4,7,38,23,1,1,10,1,0,231,0,0,33,0,0,0,0,0,39,3,5,31,0,2,14,0,0,0,0,0,37,0,15,0,0,0,31,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMDA23_MetaSUB_gCSD16_AKL_12,AKL,Auckland,16,-36.75,174.75,Cfb,13720,36831,21165,34490,1870,805,3236,679,1538,967,426,190,315,279,85,103,39,126,42,47,29,42605,472667,6708,10871,12872,159,178,25,118,181,31,3,30255,5905,1156,665,90,18,4340,2095,10417,22481,30,554,34,1,86,6,753,5,24846,45865,2627,153,26,112,182,5484,30,140,418969,32296,17380,8933,15436,8087,3418,5834,5344,472,769,413,180,119,81,97,31,19,263,649,745,56,151,537,610,90,60,59,2040,291,418,647,74,42,6,59,3,1921,244,118,13,84,70,46,41,27,75,11,32,2,525,652,572,92,74,14,260,309,32,33,12,1336,213,111,1797,490,145,500,83,182,14,15,32,210,59,6,44,15,1289,429,30,7,315,72,80,9,11,72,4,124,7,24,3,2,1,134345,1570,1046,969,88,159,87,16,104,30,15,1,0,8,4,189,9,115,2,7,566,255,7,23,223,6,297,27,26,5,4,686,14,4,8,10,83,1,49,3,676,140,69,38,39,6,1,59,0,4,23,16,0,1,34,21,7,5,24,14,3,206,11,11,69,3,2,6,3,1,143,25,3,20,3,43,33,7,8,4,2,1,77,5,25,0,0,0,24,0,11,8,1,40,15,0,6,0,0,1,2,3,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMDA23_MetaSUB_gCSD16_AKL_13,AKL,Auckland,16,-36.75,174.75,Cfb,2746,12333,9612,10388,1466,1334,1186,343,151,566,310,283,254,280,25,4,51,259,5,86,2,22876,16694,1443765,4426,3712,122,56,1,27,14,0,0,15470,726,576,384,38,1,43457,1745170,9108,3203,486,6529,183,29,95,5,118,0,5699,1382,2417,310,117,139,29,47,36,42,92895,11035,5408,1984,2150,2084,1712,519,316,105,107,133,37,50,2,0,1,1,6,85,113,0,46,265,340,0,196,2,574,49,147,301,15,21,28,75,0,391,96,1,34,73,24,2,13,1,1,2,1,0,209,94,155,3,4,0,128,159,0,25,1,489,21,39,693,695,98,106,26,83,6,0,0,280,44,0,2,2,232,132,21,0,26,41,113,3,51,40,0,8,0,15,1,0,0,5846,630,394,261,162,41,50,96,71,1,0,0,0,0,0,169,80,22,0,0,148,79,14,5,113,1,5,72,36,22,0,187,52,1,0,2,2,0,9,0,848,196,3,16,1,0,0,23,1,0,0,73,89,0,110,16,0,0,42,1,4,131,0,0,91,0,0,2,110,0,152,132,23,0,0,0,17,0,0,1,0,0,0,0,40,1,0,0,7,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMDA23_MetaSUB_gCSD16_AKL_14,AKL,Auckland,16,-36.75,174.75,Cfb,11032,369318,691453,1217714,986,949,1303,659,195,522,378,139,278,138,16,14,7,81,8,40,30,13514,24077,33647,3609,3319,46,42,10,25,8,12,13,35465,965,714,361,26,3,187026,36629,6113,1445,147,2599,89,14,80,8,66,4,9387,21257,14997,78,35,107,58,32,6,82,26195,6431,4630,1969,2396,1725,899,266,495,56,109,113,44,22,15,10,12,9,32,47,102,4,47,115,162,5,56,20,324,74,68,254,13,9,1,59,3,383,69,4,10,12,16,2,13,11,11,2,1,0,156,130,93,27,20,5,94,72,26,8,1,296,89,29,622,221,61,128,57,128,4,15,0,146,27,3,5,2,91,143,14,3,62,29,58,10,12,43,1,34,2,30,5,4,2,2884,267,167,115,28,24,28,19,11,13,8,2,0,0,0,66,8,22,2,8,101,51,5,10,83,0,13,29,12,5,1,225,6,2,10,7,4,3,17,1,371,69,12,27,27,1,2,1,0,2,0,2,0,0,19,1,1,0,2,5,0,86,1,1,6,0,0,0,4,0,35,4,0,3,0,6,5,4,0,0,0,1,14,1,12,0,4,0,7,0,16,1,0,4,4,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMDA23_MetaSUB_gCSD16_AKL_1,AKL,Auckland,16,-36.75,174.75,Cfb,1755,6493,6332,4555,435,1450,212,110,107,59,204,152,29,94,21,1,3,4,5,32,1,1900704,10300,692,4085,2499,14,12,3,2,6,5,0,2861,291,53,64,7,0,1703,389,467,253,20,77,3,7,5,0,12,0,945862,1760,29049,111,35,257,41,43,2,205,7495,47927,820,315,486,266,153,38,69,3,16,17,4,1,0,1,0,0,7,9,28,1,7,15,13,2,0,6,219,44,68,98,4,5,1,116,0,51,8,1,0,3,1,1,1,1,1,0,0,1,16,22,7,6,2,4,2,6,7,5,0,35,3,4,164,61,6,16,14,40,3,1,0,130,39,0,61,1,488,19,2,0,1,1,6,7,2,2,2,8,6,9,4,0,5,5207,62,41,56,19,19,37,19,35,8,0,0,0,0,1,118,2,33,0,0,118,8,7,0,69,0,40,59,28,0,0,42,0,0,0,1,0,12,1,0,483,20,3,49,5,1,0,0,0,0,1,0,0,0,10,7,1,0,2,11,6,108,0,0,9,2,0,11,0,0,10,2,0,0,0,2,2,1,0,1,0,0,20,1,6,0,0,0,2,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMDA23_MetaSUB_gCSD16_AKL_2,AKL,Auckland,16,-36.75,174.75,Cfb,3982,2601727,7458,6074,679,92,6959,213,159,103,218,381,2219,9,316,0,5,17,0,1,2,2059,915,867,548,263,3,3,0,0,0,0,0,4356,258,359,96,2,81,998,916,203,572,1,19,0,1,56,0,9,0,1865,1309,220,4,1,4,6,380,0,309,1409,597,583,383,267,97,61,372,70,4,9,5,7,0,1,0,0,1,2,47,130,0,0,9,16,1,1,1,664,3,9,10,1,1,0,3,0,24,2,1,0,0,0,0,1,0,1,0,0,0,9,5,13,0,0,0,57,1,0,0,0,7,4,0,27,20,8,4,7,0,0,0,0,292,0,0,0,0,112,1,0,0,2,1,2,0,1,0,1532,0,0,0,0,0,0,44852,12,7,7,1,362,0,0,1,1,0,0,0,0,0,4,0,0,0,0,13,5,0,0,2,0,2,0,0,0,0,17,0,0,0,0,0,0,1,0,33,1,1,0,0,0,0,26,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMDA23_MetaSUB_gCSD16_AKL_3,AKL,Auckland,16,-36.75,174.75,Cfb,2298,150407,3649801,6955,657,973,1168,523,317,308,238,43,167,86,2,14,45,27,10,30,4,5387,12447,21033,2479,997,7,7,3,36,50,5,11,11318,601,290,234,23,11,294459,12389,1677,599,47,717,30,0,52,9,34,0,154131,4133,1121,63,15,112,41,27,108,74,14949,2481,1904,755,706,637,266,136,109,44,42,11,4,14,0,21,3,1,11,66,51,1,2,36,39,9,5,2,190,59,66,100,5,5,0,121,2,139,28,1,6,5,1,9,3,7,1,1,9,0,116,15,48,19,2,12,62,29,0,21,1,240,13,27,183,83,30,124,69,69,35,18,0,78,18,5,52,0,130,62,13,6,11,12,63,13,5,4,0,11,3,6,0,0,1,4379,164,101,44,72,4,15,26,8,2,13,0,0,0,1,45,19,13,4,10,51,26,8,3,159,1,2,24,1,0,0,83,3,16,0,0,7,1,3,1,341,58,3,6,17,1,1,0,0,0,0,0,0,0,7,6,0,0,7,8,0,137,6,0,3,1,0,1,0,0,10,0,0,3,1,20,1,0,0,3,0,0,1,0,1,0,0,2,0,0,4,0,0,1,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMDA23_MetaSUB_gCSD16_AKL_4,AKL,Auckland,16,-36.75,174.75,Cfb,137488,316836,1450788,936074,886,468,2269,750,152,758,321,171,437,99,55,17,26,288,9,10,57,46989,5570,5724,2448,2370,29,76,4,6,6,2,2,25651,1204,768,289,235,1,181302,7950,1264,565,26,331,56,6,18,4,112,0,2039,3865,925,26,11,32,25,53,12,16,4506,6920,3820,1518,2292,1685,790,328,594,250,86,98,84,26,16,30,27,3,11,37,59,0,3,23,125,4,1,4,136,19,61,159,12,0,0,19,0,331,42,1,7,29,1,10,39,1,3,23,6,0,165,82,44,25,24,0,97,101,42,1,8,265,373,24,559,474,19,140,43,101,29,6,0,64,3,0,3,2,53,403,48,4,68,26,25,0,6,32,0,4,0,15,0,0,0,8720,433,65,226,57,45,5,1,10,22,0,1,0,0,0,19,3,9,3,5,134,47,2,3,292,1,13,4,9,2,7,154,2,2,0,2,0,0,13,0,149,14,10,12,5,0,0,4,0,0,0,0,0,0,5,0,0,0,4,8,0,45,0,3,4,0,0,0,4,0,34,3,1,1,0,1,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,2,0,1,3,0,9,0,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMDA23_MetaSUB_gCSD16_AKL_5,AKL,Auckland,16,-36.75,174.75,Cfb,2932,7897,4224528,5797,1288,2660,248,80,526,32,89,168,44,119,0,5,0,3,12,2,0,4171,776,1006,372,92,5,2,0,2,1,4,0,2604,104,43,35,1,0,722658,3212,1283,663,36,537,78,11,40,3,6,0,246762,1069,1237,99,11,58,19,14,4,33,1394,244,264,87,316,86,49,16,65,5,7,4,1,4,1,0,1,0,2,1,9,0,3,7,101,0,1,0,273,158,98,57,1,4,0,165,0,51,1,0,1,0,12,0,1,0,0,0,0,0,36,9,20,4,0,0,29,1,0,54,0,9,1,1,25,15,1,6,10,58,0,2,0,155,7,0,38,14,171,4,1,1,3,7,16,3,29,0,13,14,1,7,9,0,18,4987,30,9,12,60,2,5,47,20,19,0,0,0,0,1,52,2,10,0,0,41,30,11,0,27,31,30,15,64,1,0,32,0,2,0,0,4,0,1,0,496,78,0,45,0,0,0,1,0,0,0,0,0,0,34,1,0,0,10,0,16,207,0,1,6,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,9,0,0,2,2,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
