Genus	ARO	Gene	BAL_En	BAL_Kl	DEN_Es	DEN_Kl	NYC_En	NYC_Es	NYC_Kl	SAC_En	SAN_En	SAN_Es
Enterobacter	3001821	ACT-1	0	0	0	0	1	0	0	0	0	0
Enterobacter	3001842	ACT-21	0	0	0	0	1	0	0	0	0	0
Enterobacter	3006267	ACT-73	0	0	0	0	0	0	0	1	0	0
Enterobacter	3006268	ACT-74	0	0	0	0	1	0	0	0	0	0
Enterobacter	3001831	ACT-8	0	0	0	0	1	0	0	0	0	0
Enterobacter	3000502	AcrF	1	0	0	0	1	0	0	0	0	0
Enterobacter	3004480	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	0	0	0	0	1	1	1	0	0	0
Enterobacter	3000518	CRP	0	0	0	0	1	0	0	0	0	0
Enterobacter	3003995	Clostridioides difficile gyrA conferring resistance to fluoroquinolones	0	0	0	0	1	0	0	0	0	0
Enterobacter	3004562	Clostridioides difficile gyrB conferring resistance to fluoroquinolones	0	0	0	0	1	0	0	0	0	0
Enterobacter	3004042	Enterobacter cloacae acrA	0	0	0	0	1	0	0	0	0	0
Enterobacter	3003369	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	0	1	0	0	1	0	0	0	0	0
Enterobacter	3003890	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	0	0	0	0	1	0	0	0	0	0
Enterobacter	Escherichia coli marR mutant conferring antibiotic resistance	Escherichia coli marR mutant conferring antibiotic resistance	0	0	0	0	1	0	0	0	0	0
Enterobacter	3001328	Escherichia coli mdfA	0	0	0	0	1	0	0	0	0	0
Enterobacter	3003511	Escherichia coli soxS with mutation conferring antibiotic resistance	0	0	0	0	1	0	0	0	0	0
Enterobacter	3002804	FosA2	0	0	0	0	1	0	0	0	0	0
Enterobacter	3000676	H-NS	0	0	0	0	1	0	0	0	0	0
Enterobacter	3004446	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	0	0	0	0	1	0	0	0	0	0
Enterobacter	3004580	Klebsiella pneumoniae KpnE	0	0	0	0	1	0	0	0	0	0
Enterobacter	3004583	Klebsiella pneumoniae KpnF	0	0	0	0	1	0	0	0	0	0
Enterobacter	3004597	Klebsiella pneumoniae KpnH	0	0	0	0	1	0	0	0	0	0
Enterobacter	3002168	MIR-2	0	0	0	0	1	0	0	0	0	0
Enterobacter	3003283	Mycobacterium tuberculosis rpoB mutants conferring resistance to rifampicin	0	0	0	0	1	0	0	0	0	0
Enterobacter	3004832	Neisseria gonorrhoeae PBP2 conferring resistance to beta-lactam antibiotics	0	0	0	0	1	0	0	0	0	0
Enterobacter	3003578	PmrF	0	0	0	0	1	0	0	0	0	0
Enterobacter	3003901	Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin	0	0	0	0	1	0	0	0	0	0
Enterobacter	3003043	Streptococcus pneumoniae PBP2x conferring resistance to amoxicillin	0	0	0	0	1	0	0	0	0	0
Enterobacter	3000216	acrB	1	0	0	0	1	0	0	0	0	0
Enterobacter	3000491	acrD	0	0	0	0	1	0	0	0	0	0
Enterobacter	3000777	adeF	0	0	0	0	1	0	0	0	0	0
Enterobacter	3002986	bacA	0	0	0	0	1	0	0	0	0	0
Enterobacter	3000828	baeR	0	0	0	0	1	0	0	0	0	0
Enterobacter	3000830	cpxA	0	0	0	0	1	0	0	0	0	0
Enterobacter	3000074	emrB	0	0	0	0	1	0	0	0	0	0
Enterobacter	3000516	emrR	0	1	0	0	1	0	0	0	0	0
Enterobacter	3000263	marA	0	0	0	0	1	0	0	0	0	0
