Genus	ARO	Gene	BAL_En	BAL_Kl	DEN_Es	DEN_Kl	NYC_En	NYC_Es	NYC_Kl	SAC_En	SAN_Es
Enterobacter	3001821	ACT-1	0	0	0	0	1	0	0	0	0
Enterobacter	3001842	ACT-21	0	0	0	0	1	0	0	0	0
Enterobacter	3001844	ACT-24	0	0	0	0	1	0	0	0	0
Enterobacter	3006239	ACT-44	0	0	0	0	0	0	0	1	0
Enterobacter	3006268	ACT-74	0	0	0	0	1	0	0	0	0
Enterobacter	3001831	ACT-8	0	0	0	0	1	0	0	0	0
Enterobacter	3000518	CRP	0	0	0	0	7	0	0	1	0
Enterobacter	3004042	Enterobacter cloacae acrA	0	0	0	0	2	0	0	0	0
Enterobacter	3003369	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	0	0	0	0	2	0	1	0	0
Enterobacter	3003890	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	0	0	0	0	1	0	0	0	0
Enterobacter	Escherichia coli marR mutant conferring antibiotic resistance	Escherichia coli marR mutant conferring antibiotic resistance	0	0	0	0	3	0	0	0	0
Enterobacter	3002804	FosA2	0	0	0	0	2	0	0	0	0
Enterobacter	3000676	H-NS	0	0	0	0	2	0	0	0	0
Enterobacter	3004446	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	0	0	0	0	3	0	0	0	0
Enterobacter	3004580	Klebsiella pneumoniae KpnE	0	0	0	0	2	0	0	0	0
Enterobacter	3004583	Klebsiella pneumoniae KpnF	0	0	0	0	2	0	0	0	0
Enterobacter	3003578	PmrF	0	0	0	0	1	0	0	0	0
Enterobacter	3000216	acrB	1	0	0	0	8	0	0	0	0
Enterobacter	3000777	adeF	0	0	0	0	4	0	0	0	0
Enterobacter	3002986	bacA	1	0	0	0	5	0	0	0	0
Enterobacter	3000828	baeR	0	0	0	0	3	0	0	0	0
Enterobacter	3000830	cpxA	0	0	0	0	1	0	0	0	0
Enterobacter	3000074	emrB	0	0	0	0	3	0	0	0	0
Enterobacter	3000516	emrR	1	0	0	0	5	0	0	0	0
Enterobacter	3000263	marA	0	0	0	0	4	0	0	0	0
Enterobacter	3003950	msbA	0	0	0	0	3	0	0	0	0
Enterobacter	3003922	oqxA	1	0	0	0	1	0	0	0	0
Enterobacter	3003923	oqxB	0	0	0	0	17	0	0	0	0
Enterobacter	3000823	ramA	0	0	0	0	2	0	0	0	0
Enterobacter	3005069	rsmA	0	0	0	0	2	0	0	0	0
Escherichia	3000502	AcrF	0	0	0	0	0	1	0	0	0
Escherichia	3003369	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	0	0	0	0	0	0	1	0	0
Escherichia	3004446	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	0	0	0	0	0	1	0	0	0
Escherichia	3000237	TolC	0	0	0	0	0	2	0	0	0
Escherichia	3003952	YojI	0	0	0	0	0	1	0	0	0
Escherichia	3002617	aadA17	0	0	0	0	0	1	0	0	0
Escherichia	3000216	acrB	0	0	0	0	0	1	0	0	1
Escherichia	3000491	acrD	0	0	0	0	0	1	0	0	0
Escherichia	3002986	bacA	0	0	0	0	0	1	0	0	0
Escherichia	3000829	baeS	0	0	0	0	0	1	0	0	0
Escherichia	3000830	cpxA	1	0	0	0	0	1	0	0	0
Escherichia	3003576	eptA	0	0	0	0	0	2	0	0	0
Escherichia	3000833	evgS	0	0	0	0	0	0	0	0	1
Escherichia	3002705	floR	0	0	0	0	0	1	0	0	0
Escherichia	3000508	gadX	0	0	0	0	0	1	0	0	0
Escherichia	3000263	marA	0	0	0	0	0	0	0	0	1
Escherichia	3000792	mdtA	0	0	0	0	0	1	0	0	1
Escherichia	3000793	mdtB	0	0	0	0	0	1	0	0	0
Escherichia	3000796	mdtF	0	0	0	0	0	1	0	0	0
Escherichia	3001216	mdtH	0	0	0	0	0	1	0	0	0
Escherichia	3001214	mdtM	0	0	0	0	0	1	0	0	0
Escherichia	3003548	mdtN	0	0	0	0	0	2	0	0	0
Escherichia	3003549	mdtO	0	0	0	0	0	1	0	0	1
Escherichia	3003550	mdtP	0	0	0	0	0	1	0	0	1
Escherichia	3000410	sul1	0	0	1	0	0	0	0	0	0
Klebsiella	3002641	APH(3')-Ia	0	1	0	0	0	0	0	0	0
Klebsiella	3005053	ArnT	0	1	0	2	0	0	1	0	0
Klebsiella	3000518	CRP	0	1	0	2	0	0	1	0	0
Klebsiella	3004042	Enterobacter cloacae acrA	0	0	0	0	1	0	0	0	0
Klebsiella	3003369	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	0	0	0	1	0	0	0	0	0
Klebsiella	Escherichia coli marR mutant conferring antibiotic resistance	Escherichia coli marR mutant conferring antibiotic resistance	0	0	0	1	0	0	1	0	0
Klebsiella	3004111	FosA6	0	0	0	0	0	0	1	0	0
Klebsiella	3007371	FosA8	0	0	0	0	0	0	1	0	0
Klebsiella	3000676	H-NS	0	0	0	0	1	0	1	0	0
Klebsiella	3004580	Klebsiella pneumoniae KpnE	0	0	0	1	0	0	3	0	0
Klebsiella	3004583	Klebsiella pneumoniae KpnF	0	0	0	0	0	0	1	0	0
Klebsiella	3004588	Klebsiella pneumoniae KpnG	0	0	0	3	0	0	3	0	0
Klebsiella	3004122	Klebsiella pneumoniae OmpK37	0	0	0	0	0	0	1	0	0
Klebsiella	3004041	Klebsiella pneumoniae acrA	0	0	0	1	0	0	0	0	0
Klebsiella	3003373	Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance	0	0	0	0	0	0	1	0	0
Klebsiella	3005059	LptD	0	0	0	1	0	0	9	0	0
Klebsiella	3002399	OXY-2-4	0	0	0	1	0	0	0	0	0
Klebsiella	3005044	OmpA	0	0	0	1	3	0	2	0	0
Klebsiella	3000216	acrB	0	0	0	0	0	0	1	0	0
Klebsiella	3000491	acrD	0	0	0	3	1	0	3	0	0
Klebsiella	3000777	adeF	0	0	0	0	0	0	1	0	0
Klebsiella	3000828	baeR	0	0	0	0	0	0	1	0	0
Klebsiella	3000830	cpxA	0	0	0	1	0	0	5	0	0
Klebsiella	3000516	emrR	0	0	0	1	0	0	2	0	0
Klebsiella	3005047	eptB	0	0	0	2	0	0	2	0	0
Klebsiella	3003209	fosA5	0	0	0	1	0	0	1	0	0
Klebsiella	3000263	marA	0	0	0	1	0	0	1	0	0
Klebsiella	3000793	mdtB	0	0	0	2	0	0	3	0	0
Klebsiella	3000794	mdtC	0	1	0	0	0	0	0	0	0
Klebsiella	3003922	oqxA	0	1	0	0	0	0	1	0	0
Klebsiella	3003923	oqxB	0	1	0	3	0	0	2	0	0
Klebsiella	3007015	qacG	0	0	0	0	0	0	1	0	0
Klebsiella	3007014	qacJ	0	0	0	1	0	0	1	0	0
