"OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
543,0,"nb",18083580.66922,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Order",1,"543AB_Order"
549,0,"nb",18581915.0411072,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Family",2,"549AB_Family"
680115,1.28580141486268e-119,"nb",5223.66063600034,"AKL16","BER16","AKL16_vs_BER16",1.89141388126301e-116,"Viruses_Genus",3,"680115Viruses_Genus"
1747,1.8357605253028e-102,"nb",568.074556928924,"AKL16","BER16","AKL16_vs_BER16",3.70640050058636e-99,"AB_Genus",4,"1747AB_Genus"
1260,1.93151451427585e-78,"nb",353.883867358871,"AKL16","BER16","AKL16_vs_BER16",1.94986390216147e-75,"AB_Genus",5,"1260AB_Genus"
2946820,0,"nb",10678.1442752481,"AKL16","BOG16","AKL16_vs_BOG16",0,"Viruses_Genus",1,"2946820Viruses_Genus"
2948935,1.43586835176482e-228,"nb",904.970977354795,"AKL16","BOG16","AKL16_vs_BOG16",1.16018162822598e-225,"Viruses_Genus",2,"2948935Viruses_Genus"
446807,2.48164136956629e-167,"nb",370.180082909763,"AKL16","BOG16","AKL16_vs_BOG16",1.33677748440637e-164,"Viruses_Genus",3,"446807Viruses_Genus"
2560435,3.96206732390826e-162,"nb",5848.58791554719,"AKL16","BOG16","AKL16_vs_BOG16",1.60067519885894e-159,"Viruses_Genus",4,"2560435Viruses_Genus"
1747,7.71293130199894e-94,"nb",610.396412083992,"AKL16","BOG16","AKL16_vs_BOG16",1.55878341613398e-90,"AB_Genus",5,"1747AB_Genus"
489910,4.73067510701652e-75,"nb",277.795856436878,"AKL16","DEN16","AKL16_vs_DEN16",9.50392628999619e-72,"AB_Genus",1,"489910AB_Genus"
1280,2.20437865158278e-64,"nb",784.049650883269,"AKL16","DEN16","AKL16_vs_DEN16",2.2142983555149e-61,"AB_Genus",2,"1280AB_Genus"
1458307,1.61912954796953e-63,"nb",507.095864378202,"AKL16","DEN16","AKL16_vs_DEN16",1.08427708729026e-60,"AB_Genus",3,"1458307AB_Genus"
1747,5.58398906172285e-62,"nb",633.400705878127,"AKL16","DEN16","AKL16_vs_DEN16",2.8045585062503e-59,"AB_Genus",4,"1747AB_Genus"
22,4.446332559198e-58,"nb",629.829245024354,"AKL16","DEN16","AKL16_vs_DEN16",1.04488815141153e-55,"AB_Order",5,"22AB_Order"
1747,4.5105393611289e-75,"nb",465.883749396132,"AKL16","DOH16","AKL16_vs_DOH16",9.06618411586909e-72,"AB_Genus",1,"1747AB_Genus"
1817405,5.97459453322038e-73,"nb",216.22601111411,"AKL16","DOH16","AKL16_vs_DOH16",6.00446750588649e-70,"AB_Genus",2,"1817405AB_Genus"
1275,6.34184486953998e-55,"nb",489.083219817119,"AKL16","DOH16","AKL16_vs_DOH16",4.24903606259179e-52,"AB_Genus",3,"1275AB_Genus"
2702,2.07862050391298e-50,"nb",258.606021370388,"AKL16","DOH16","AKL16_vs_DOH16",1.04450680321627e-47,"AB_Genus",4,"2702AB_Genus"
316,3.85681440556017e-48,"nb",525.170539626626,"AKL16","DOH16","AKL16_vs_DOH16",1.55043939103519e-45,"AB_Genus",5,"316AB_Genus"
316,0,"nb",92106851.979248,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Phylum",1,"316AB_Phylum"
316,0,"nb",143753201.643555,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Class",2,"316AB_Class"
2962858,9.8066460637714e-70,"nb",591.139986761569,"AKL16","ILR16","AKL16_vs_ILR16",1.97309718803081e-66,"AB_Genus",3,"2962858AB_Genus"
