"","Observed","Chao1","se.chao1","Shannon"
"CAMDA23_MetaSUB_gCSD16_AKL_10",1,1,0,0
"CAMDA23_MetaSUB_gCSD16_AKL_11",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_AKL_12",11,21.5,10.4747759036916,2.26404926016656
"CAMDA23_MetaSUB_gCSD16_AKL_13",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_AKL_14",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD16_AKL_1",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_AKL_2",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_AKL_3",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_AKL_4",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_AKL_5",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_AKL_6",1,1,0,0
"CAMDA23_MetaSUB_gCSD16_AKL_7",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_AKL_8",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_AKL_9",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_BER_10",20,20.8571428571429,1.39252211232816,2.58408532941898
"CAMDA23_MetaSUB_gCSD16_BER_11",32,42.1111111111111,7.18488102554006,2.75405132533793
"CAMDA23_MetaSUB_gCSD16_BER_12",26,36.1111111111111,7.18388844552868,3.07380332544416
"CAMDA23_MetaSUB_gCSD16_BER_13",23,36.2,10.2054428117268,2.31194296574651
"CAMDA23_MetaSUB_gCSD16_BER_14",13,15,2.86614982420927,2.05986483420417
"CAMDA23_MetaSUB_gCSD16_BER_15",13,15,2.57604347789396,2.16404651235191
"CAMDA23_MetaSUB_gCSD16_BER_1",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD16_BER_2",6,9,4.09945795874961,1.41051355711484
"CAMDA23_MetaSUB_gCSD16_BER_3",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD16_BER_4",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_BER_5",3,3,0.204124145231932,0.39844050758377
"CAMDA23_MetaSUB_gCSD16_BER_6",9,16,7.06996287118964,2.14584175259475
"CAMDA23_MetaSUB_gCSD16_BER_7",8,36,21.202725191719,2.07944154167984
"CAMDA23_MetaSUB_gCSD16_BER_8",15,20.25,5.35406758807305,2.2525372026773
"CAMDA23_MetaSUB_gCSD16_BER_9",15,17,2.57727626403854,2.23443986987414
"CAMDA23_MetaSUB_gCSD16_BOG_10",28,41,9.62487461643599,3.04274964125554
"CAMDA23_MetaSUB_gCSD16_BOG_11",37,79.8571428571429,23.9422282874295,3.18555883177621
"CAMDA23_MetaSUB_gCSD16_BOG_12",16,27.25,9.5279100968796,2.51457407850521
"CAMDA23_MetaSUB_gCSD16_BOG_13",41,62.375,13.1420731570455,3.27848927731995
"CAMDA23_MetaSUB_gCSD16_BOG_14",25,29,3.68473430820928,2.68693952811139
"CAMDA23_MetaSUB_gCSD16_BOG_15",30,41.6666666666667,7.99600380299799,2.92909836010803
"CAMDA23_MetaSUB_gCSD16_BOG_16",15,18,3.40881210981186,2.59207396989627
"CAMDA23_MetaSUB_gCSD16_BOG_1",26,46,13.4855442375027,2.95964229312346
"CAMDA23_MetaSUB_gCSD16_BOG_2",21,28.2,6.42730346157967,2.85067125496367
"CAMDA23_MetaSUB_gCSD16_BOG_3",27,38.6666666666667,7.99547570408067,3.11399363297901
"CAMDA23_MetaSUB_gCSD16_BOG_4",23,42.5,14.7226316381597,2.43424556152989
"CAMDA23_MetaSUB_gCSD16_BOG_5",22,26,3.68425269881396,2.47845046529766
"CAMDA23_MetaSUB_gCSD16_BOG_6",21,27,5.38043437596576,2.8485330106369
"CAMDA23_MetaSUB_gCSD16_BOG_8",19,21,2.57903636489069,2.1973078044937
"CAMDA23_MetaSUB_gCSD16_BOG_9",23,53.3333333333333,22.7023955879572,2.61645627691755
"CAMDA23_MetaSUB_gCSD16_DEN_10",4,5.5,2.51811617899355,1.33217904021012
"CAMDA23_MetaSUB_gCSD16_DEN_11",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD16_DEN_12",10,31,17.2449150990718,1.71541588685795
"CAMDA23_MetaSUB_gCSD16_DEN_13",4,5.5,2.51811617899355,1.33217904021012
"CAMDA23_MetaSUB_gCSD16_DEN_14",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD16_DEN_15",1,1,0,0
"CAMDA23_MetaSUB_gCSD16_DEN_16",1,1,0,0
"CAMDA23_MetaSUB_gCSD16_DEN_17",7,22,13.4823116442518,1.58902691517397
"CAMDA23_MetaSUB_gCSD16_DEN_18",6,16,10.0739453542294,1.17299347243951
"CAMDA23_MetaSUB_gCSD16_DEN_19",4,4.5,1.25,1.2130075659799
"CAMDA23_MetaSUB_gCSD16_DEN_1",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_DEN_20",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD16_DEN_21",3,4,2.12132034355964,0.867563228481461
"CAMDA23_MetaSUB_gCSD16_DEN_22",11,25,13.1247857125364,1.88392969585185
"CAMDA23_MetaSUB_gCSD16_DEN_2",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_DEN_3",4,7,4.34248118673448,1.07354284640852
"CAMDA23_MetaSUB_gCSD16_DEN_4",6,7.5,2.53968501984006,1.27068172232498
"CAMDA23_MetaSUB_gCSD16_DEN_5",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD16_DEN_6",4,4.5,1.25,1.14905969697062
"CAMDA23_MetaSUB_gCSD16_DEN_7",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD16_DEN_8",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_DEN_9",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD16_DOH_10",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_DOH_11",1,1,0,0
"CAMDA23_MetaSUB_gCSD16_DOH_12",2,2,0.353553390593274,0.410116318288409
"CAMDA23_MetaSUB_gCSD16_DOH_14",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_DOH_15",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_DOH_1",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_DOH_2",4,4.5,1.25,1.27703425946614
"CAMDA23_MetaSUB_gCSD16_DOH_3",1,1,0,0
