"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1747","Bacteria","Actinomycetota",NA,NA,NA,NA,NA
"833","Bacteria","Fibrobacterota",NA,NA,NA,NA,NA
"288000","Bacteria","Pseudomonadota",NA,NA,NA,NA,NA
"2596915","Bacteria","Bacteroidota",NA,NA,NA,NA,NA
"119532","Bacteria","Cyanobacteriota",NA,NA,NA,NA,NA
"2080419","Bacteria","Deinococcota",NA,NA,NA,NA,NA
"1005039","Bacteria","Armatimonadota",NA,NA,NA,NA,NA
"861299","Bacteria","Gemmatimonadota",NA,NA,NA,NA,NA
"2528023","Bacteria","Planctomycetota",NA,NA,NA,NA,NA
"1307763","Bacteria","Kiritimatiellota",NA,NA,NA,NA,NA
"1658616","Bacteria","Lentisphaerota",NA,NA,NA,NA,NA
"83451","Bacteria","Myxococcota",NA,NA,NA,NA,NA
"876","Bacteria","Thermodesulfobacteriota",NA,NA,NA,NA,NA
"851","Bacteria","Fusobacteriota",NA,NA,NA,NA,NA
"959","Bacteria","Bdellovibrionota",NA,NA,NA,NA,NA
"498846","Archaea","Candidatus Korarchaeota",NA,NA,NA,NA,NA
"1291540","Archaea","Candidatus Thermoplasmatota",NA,NA,NA,NA,NA
"2594042","Archaea","Candidatus Lokiarchaeota",NA,NA,NA,NA,NA
"28198","Bacteria","Campylobacterota",NA,NA,NA,NA,NA
"239935","Bacteria","Verrucomicrobiota",NA,NA,NA,NA,NA
"2984951","Bacteria","Thermotogota",NA,NA,NA,NA,NA
"1408204","Bacteria","Elusimicrobiota",NA,NA,NA,NA,NA
"1353260","Archaea","Nitrososphaerota",NA,NA,NA,NA,NA
"1806508","Bacteria","Chloroflexota",NA,NA,NA,NA,NA
"2057","Bacteria","Thermomicrobiota",NA,NA,NA,NA,NA
"2802971","Bacteria","Acidobacteriota",NA,NA,NA,NA,NA
"1282","Bacteria","Bacillota",NA,NA,NA,NA,NA
"2665156","Bacteria","Candidatus Saccharibacteria",NA,NA,NA,NA,NA
"651822","Bacteria","Synergistota",NA,NA,NA,NA,NA
"187145","Bacteria","Calditrichota",NA,NA,NA,NA,NA
"513050","Bacteria","Dictyoglomota",NA,NA,NA,NA,NA
"42253","Bacteria","Nitrospirota",NA,NA,NA,NA,NA
"282676","Archaea","Thermoproteota",NA,NA,NA,NA,NA
"2098","Bacteria","Mycoplasmatota",NA,NA,NA,NA,NA
"591197","Bacteria","Ignavibacteriota",NA,NA,NA,NA,NA
"456827","Bacteria","Candidatus Cloacimonetes",NA,NA,NA,NA,NA
"389348","Bacteria","Chlamydiota",NA,NA,NA,NA,NA
"167","Bacteria","Spirochaetota",NA,NA,NA,NA,NA
"2026885","Bacteria","Candidatus Bipolaricaulota",NA,NA,NA,NA,NA
"2586965","Archaea","Nanoarchaeota",NA,NA,NA,NA,NA
"2565781","Archaea","Candidatus Nanohaloarchaeota",NA,NA,NA,NA,NA
"1457365","Bacteria","Balneolota",NA,NA,NA,NA,NA
"118000","Bacteria","Deferribacterota",NA,NA,NA,NA,NA
"936456","Bacteria","Chrysiogenota",NA,NA,NA,NA,NA
"2847778","Bacteria","Atribacterota",NA,NA,NA,NA,NA
"2735562","Bacteria","Candidatus Absconditabacteria",NA,NA,NA,NA,NA
"1632019","Bacteria","Aquificota",NA,NA,NA,NA,NA
"35786","Bacteria","Coprothermobacterota",NA,NA,NA,NA,NA
"1930593","Bacteria","Candidatus Omnitrophica",NA,NA,NA,NA,NA
"693075","Bacteria","Caldisericota",NA,NA,NA,NA,NA
"274537","Bacteria","Chlorobiota",NA,NA,NA,NA,NA
"179637","Archaea","Euryarchaeota",NA,NA,NA,NA,NA
"2282148","Archaea","Candidatus Micrarchaeota",NA,NA,NA,NA,NA
