"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2948705","Viruses","Uroviricota","Caudoviricetes","","Vilmaviridae","Faithunavirus",NA
"1983750","Viruses","Uroviricota","Caudoviricetes","","Vilmaviridae","Bongovirus",NA
"2733654","Viruses","Uroviricota","Caudoviricetes","","Autographiviridae","Pektosvirus",NA
"2733634","Viruses","Uroviricota","Caudoviricetes","","Autographiviridae","Kayfunavirus",NA
"2956444","Viruses","Uroviricota","Caudoviricetes","","","Shuimuvirus",NA
"2955537","Viruses","Uroviricota","Caudoviricetes","","Casjensviridae","Broinstvirus",NA
"2734104","Viruses","Uroviricota","Caudoviricetes","","","Derbicusvirus",NA
"2590895","Viruses","Uroviricota","Caudoviricetes","","","Bantamvirus",NA
"2560435","Viruses","Uroviricota","Caudoviricetes","","","Risingsunvirus",NA
"1984787","Viruses","Uroviricota","Caudoviricetes","","","Elvirus",NA
"322019","Viruses","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae","Chlorovirus",NA
"1094892","Viruses","Nucleocytoviricota","Megaviricetes","Imitervirales","Mimiviridae","Mimivirus",NA
"10491","Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales","Iridoviridae","Chloriridovirus",NA
"2749927","Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Alphanucleorhabdovirus",NA
"351073","Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Spinareoviridae","Orthoreovirus",NA
"2169803","Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Carlavirus",NA
"2955427","Viruses","Uroviricota","Caudoviricetes","","","Beograduvirus",NA
"2733927","Viruses","Uroviricota","Caudoviricetes","","Autographiviridae","Kelmasvirus",NA
"1982251","Viruses","Uroviricota","Caudoviricetes","","","Pahexavirus",NA
"1623305","Viruses","Uroviricota","Caudoviricetes","","","Skunavirus",NA
"2750282","Viruses","Uroviricota","Caudoviricetes","","Rountreeviridae","Andhravirus",NA
"680287","Viruses","Uroviricota","Caudoviricetes","","Rountreeviridae","Rosenblumvirus",NA
"2419649","Viruses","Uroviricota","Caudoviricetes","","","Moineauvirus",NA
"1922246","Viruses","Uroviricota","Caudoviricetes","","","Sextaecvirus",NA
"1918723","Viruses","Uroviricota","Caudoviricetes","","Herelleviridae","Siminovitchvirus",NA
"1920753","Viruses","Uroviricota","Caudoviricetes","","Schitoviridae","Gamaleyavirus",NA
"2845095","Viruses","Uroviricota","Caudoviricetes","","Schitoviridae","Pylasvirus",NA
"1914019","Viruses","Uroviricota","Caudoviricetes","","Straboviridae","Schizotequatrovirus",NA
"1985736","Viruses","Uroviricota","Caudoviricetes","","Autographiviridae","Pradovirus",NA
"1983737","Viruses","Uroviricota","Caudoviricetes","","","Fishburnevirus",NA
"2956180","Viruses","Uroviricota","Caudoviricetes","Crassvirales","Steigviridae","Mahstovirus",NA
"2846393","Viruses","Uroviricota","Caudoviricetes","","","Borockvirus",NA
"2955989","Viruses","Uroviricota","Caudoviricetes","","","Immutovirus",NA
"561996","Viruses","Uroviricota","Caudoviricetes","","","Brujitavirus",NA
"1984798","Viruses","Uroviricota","Caudoviricetes","","","Perisivirus",NA
"2560092","Viruses","Uroviricota","Caudoviricetes","","","Aphroditevirus",NA
"540068","Viruses","Uroviricota","Caudoviricetes","","","Pukovnikvirus",NA
"1623282","Viruses","Uroviricota","Caudoviricetes","","","Chenonavirus",NA
"2956470","Viruses","Uroviricota","Caudoviricetes","","","Stormageddonvirus",NA
"2734264","Viruses","Uroviricota","Caudoviricetes","","","Picardvirus",NA
"2956376","Viruses","Uroviricota","Caudoviricetes","","","Rosariovirus",NA
"2845109","Viruses","Uroviricota","Caudoviricetes","","","Lastavirus",NA
"1982088","Viruses","Uroviricota","Caudoviricetes","","","Mudcatvirus",NA
"180230","Viruses","Peploviricota","Herviviricetes","Herpesvirales","Alloherpesviridae","Cyprinivirus",NA
"107324","Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Solendovirus",NA
"2713640","Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Cavemovirus",NA
"369960","Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus",NA
"119164","Viruses","Pisuviricota","Pisoniviricetes","Sobelivirales","Solemoviridae","Polerovirus",NA
"12742","Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Iflaviridae","Iflavirus",NA
"333926","Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Gammapapillomavirus",NA
"337051","Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Betapapillomavirus",NA
"1891726","Viruses","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","Alphapolyomavirus",NA
"1179664","Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Betaentomopoxvirus",NA
"2083300","Viruses","","","","Polydnaviriformidae","Bracoviriform",NA
"2734148","Viruses","Uroviricota","Caudoviricetes","","Kyanoviridae","Thaumasvirus",NA
"2734125","Viruses","Uroviricota","Caudoviricetes","","Kyanoviridae","Nerrivikvirus",NA
"2734151","Viruses","Uroviricota","Caudoviricetes","","Kyanoviridae","Vellamovirus",NA
"2734102","Viruses","Uroviricota","Caudoviricetes","","Kyanoviridae","Charybdisvirus",NA
"2734140","Viruses","Uroviricota","Caudoviricetes","","Kyanoviridae","Salacisavirus",NA
"2956131","Viruses","Uroviricota","Caudoviricetes","","Kyanoviridae","Lowelvirus",NA
"1985175","Viruses","Uroviricota","Caudoviricetes","","Herelleviridae","Caeruleovirus",NA
"115987","Viruses","Uroviricota","Caudoviricetes","","Straboviridae","Biquartavirus",NA
"1914195","Viruses","Uroviricota","Caudoviricetes","","Straboviridae","Dhakavirus",NA
"2955533","Viruses","Uroviricota","Caudoviricetes","","Straboviridae","Bragavirus",NA
"2560751","Viruses","Uroviricota","Caudoviricetes","","","Eneladusvirus",NA
"2732017","Viruses","Uroviricota","Caudoviricetes","","Demerecviridae","Epseptimavirus",NA
"2733994","Viruses","Uroviricota","Caudoviricetes","","Demerecviridae","Hongcheonvirus",NA
"2955712","Viruses","Uroviricota","Caudoviricetes","Crassvirales","Suoliviridae","Cohcovirus",NA
"2843791","Viruses","Uroviricota","Caudoviricetes","","","Rockvillevirus",NA
"1980923","Viruses","Uroviricota","Caudoviricetes","","","Mieseafarmvirus",NA
"927988","Viruses","Uroviricota","Caudoviricetes","","","Microwolfvirus",NA
"1922329","Viruses","Uroviricota","Caudoviricetes","","","Enhodamvirus",NA
"2956543","Viruses","Uroviricota","Caudoviricetes","Thumleimavirales","Druskaviridae","Tredecimvirus",NA
"1084719","Viruses","Uroviricota","Caudoviricetes","","","Donellivirus",NA
"2734081","Viruses","Uroviricota","Caudoviricetes","","","Alexandravirus",NA
"2560676","Viruses","Uroviricota","Caudoviricetes","","","Plaisancevirus",NA
"2955593","Viruses","Uroviricota","Caudoviricetes","","Assiduviridae","Cebadecemvirus",NA
"2733333","Viruses","Uroviricota","Caudoviricetes","","Autographiviridae","Uliginvirus",NA
"2560834","Viruses","Uroviricota","Caudoviricetes","","","Tidunavirus",NA
"2560589","Viruses","Uroviricota","Caudoviricetes","","","Elerivirus",NA
"2846608","Viruses","Uroviricota","Caudoviricetes","","Peduoviridae","Yongunavirus",NA
"1921123","Viruses","Uroviricota","Caudoviricetes","","","Nonanavirus",NA
"2560493","Viruses","Uroviricota","Caudoviricetes","","","Galunavirus",NA
"10397","Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Quwivirus",NA
"261939","Viruses","Peploviricota","Herviviricetes","Herpesvirales","Malacoherpesviridae","Ostreavirus",NA
"1213588","Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Rosadnavirus",NA
"2508226","Viruses","Pisuviricota","Pisoniviricetes","Nidovirales","Mononiviridae","Alphamononivirus",NA
"1980489","Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus",NA
"519497","Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Spinareoviridae","Fijivirus",NA
"328615","Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales","Ascoviridae","Ascovirus",NA
"62099","Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Alphaentomopoxvirus",NA
"2169700","Viruses","Preplasmiviricota","Tectiliviricetes","Kalamavirales","Tectiviridae","Alphatectivirus",NA
"10449","Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus",NA
"2747498","Viruses","","Naldaviricetes","Lefavirales","Hytrosaviridae","Muscavirus",NA
"342409","Viruses","","Naldaviricetes","","Nimaviridae","Whispovirus",NA
"1349409","Viruses","","","","","Pandoravirus",NA
"1980931","Viruses","Uroviricota","Caudoviricetes","","Herelleviridae","Sepunavirus",NA
"2560792","Viruses","Uroviricota","Caudoviricetes","","","Scapunavirus",NA
"2956181","Viruses","Uroviricota","Caudoviricetes","","Kyanoviridae","Makelovirus",NA
