"OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
673862,0,"zip",7291.40894025655,"AKL16","BER16","AKL16_vs_BER16",0,"_Class",1,"673862_Class"
1196095,0,"zip",81557.2087189324,"AKL16","BER16","AKL16_vs_BER16",0,"_Order",2,"1196095_Order"
2843216,0,"zip",20431.8215285545,"AKL16","BER16","AKL16_vs_BER16",0,"_Order",3,"2843216_Order"
673862,0,"zip",7298.05406029311,"AKL16","BER16","AKL16_vs_BER16",0,"_Order",4,"673862_Order"
1196095,0,"zip",81772.6940586585,"AKL16","BER16","AKL16_vs_BER16",0,"_Family",5,"1196095_Family"
2807512,0,"zip",11217.1782710048,"AKL16","BOG16","AKL16_vs_BOG16",0,"_Class",1,"2807512_Class"
673862,0,"zip",7209.66550193062,"AKL16","BOG16","AKL16_vs_BOG16",0,"_Class",2,"673862_Class"
2718,0,"zip",36381.8064443906,"AKL16","BOG16","AKL16_vs_BOG16",0,"_Order",3,"2718_Order"
1810504,0,"zip",22102.0214538774,"AKL16","BOG16","AKL16_vs_BOG16",0,"_Order",4,"1810504_Order"
304895,0,"zip",7512.94625490713,"AKL16","BOG16","AKL16_vs_BOG16",0,"_Order",5,"304895_Order"
225148,0,"zip",2147.1118973592,"AKL16","DEN16","AKL16_vs_DEN16",0,"_Phylum",1,"225148_Phylum"
2984951,0,"zip",7341.32519656404,"AKL16","DEN16","AKL16_vs_DEN16",0,"_Phylum",2,"2984951_Phylum"
2807512,0,"zip",5138.14555385828,"AKL16","DEN16","AKL16_vs_DEN16",0,"_Class",3,"2807512_Class"
225148,0,"zip",2148.53259244251,"AKL16","DEN16","AKL16_vs_DEN16",0,"_Class",4,"225148_Class"
83564,0,"zip",3638.07125181692,"AKL16","DEN16","AKL16_vs_DEN16",0,"_Class",5,"83564_Class"
2173,0,"zip",2055.96559319736,"AKL16","DOH16","AKL16_vs_DOH16",0,"_Class",1,"2173_Class"
2173,0,"zip",2055.86842876982,"AKL16","DOH16","AKL16_vs_DOH16",0,"_Order",2,"2173_Order"
1751046,0,"zip",26797.2987099029,"AKL16","DOH16","AKL16_vs_DOH16",0,"_Family",3,"1751046_Family"
2220096,0,"zip",3272.83061083549,"AKL16","DOH16","AKL16_vs_DOH16",0,"_Genus",4,"2220096_Genus"
47671,0,"zip",8203.05221094961,"AKL16","DOH16","AKL16_vs_DOH16",0,"_Genus",5,"47671_Genus"
2984951,0,"zip",39554.1798857657,"AKL16","ILR16","AKL16_vs_ILR16",0,"_Phylum",1,"2984951_Phylum"
2984951,0,"zip",39556.8811250198,"AKL16","ILR16","AKL16_vs_ILR16",0,"_Class",2,"2984951_Class"
673862,0,"zip",8067.94122843501,"AKL16","ILR16","AKL16_vs_ILR16",0,"_Class",3,"673862_Class"
1608957,0,"zip",1832.4155681187,"AKL16","ILR16","AKL16_vs_ILR16",0,"_Order",4,"1608957_Order"
673862,0,"zip",8074.68378297385,"AKL16","ILR16","AKL16_vs_ILR16",0,"_Order",5,"673862_Order"
2772483,0,"zip",8500.95671619922,"AKL16","LIS16","AKL16_vs_LIS16",0,"_Family",1,"2772483_Family"
569,0,"zip",9482.7539485104,"AKL16","LIS16","AKL16_vs_LIS16",0,"_Genus",2,"569_Genus"
157779,0,"zip",28750.3113534968,"AKL16","LIS16","AKL16_vs_LIS16",0,"_Genus",3,"157779_Genus"
1335061,0,"zip",39831.8725696158,"AKL16","LIS16","AKL16_vs_LIS16",0,"_Genus",4,"1335061_Genus"
2986920,0,"zip",30635.2698431886,"AKL16","LIS16","AKL16_vs_LIS16",0,"_Genus",5,"2986920_Genus"
673862,0,"zip",7408.10455393284,"AKL16","NYC16","AKL16_vs_NYC16",0,"_Class",1,"673862_Class"
2843216,0,"zip",20080.6190098129,"AKL16","NYC16","AKL16_vs_NYC16",0,"_Order",2,"2843216_Order"
673862,0,"zip",7414.74271537521,"AKL16","NYC16","AKL16_vs_NYC16",0,"_Order",3,"673862_Order"
1653831,0,"zip",35989.4319991751,"AKL16","NYC16","AKL16_vs_NYC16",0,"_Family",4,"1653831_Family"
2843216,0,"zip",20150.9292146973,"AKL16","NYC16","AKL16_vs_NYC16",0,"_Family",5,"2843216_Family"
2057,0,"zip",2764.71876920864,"AKL16","SAC16","AKL16_vs_SAC16",0,"_Phylum",1,"2057_Phylum"
225148,0,"zip",3646.66315585679,"AKL16","SAC16","AKL16_vs_SAC16",0,"_Phylum",2,"225148_Phylum"
42253,0,"zip",1088.01816598733,"AKL16","SAC16","AKL16_vs_SAC16",0,"_Phylum",3,"42253_Phylum"
3004094,0,"zip",916.669188344886,"AKL16","SAC16","AKL16_vs_SAC16",0,"_Class",4,"3004094_Class"
120962,0,"zip",906.795132629049,"AKL16","SAC16","AKL16_vs_SAC16",0,"_Class",5,"120962_Class"
673862,0,"zip",7520.54202578906,"AKL16","TOK16","AKL16_vs_TOK16",0,"_Class",1,"673862_Class"
2844505,0,"zip",336.540289502174,"AKL16","TOK16","AKL16_vs_TOK16",0,"_Class",2,"2844505_Class"
673862,0,"zip",7526.91403761935,"AKL16","TOK16","AKL16_vs_TOK16",0,"_Order",3,"673862_Order"
2844505,0,"zip",336.535592642137,"AKL16","TOK16","AKL16_vs_TOK16",0,"_Order",4,"2844505_Order"
2005460,0,"zip",28064.2893342149,"AKL16","TOK16","AKL16_vs_TOK16",0,"_Family",5,"2005460_Family"
225148,0,"zip",2649.7428396585,"AKL16","BAL17","AKL16_vs_BAL17",0,"_Phylum",1,"225148_Phylum"
225148,0,"zip",2649.7985259694,"AKL16","BAL17","AKL16_vs_BAL17",0,"_Class",2,"225148_Class"
2843216,0,"zip",1802.1843184409,"AKL16","BAL17","AKL16_vs_BAL17",0,"_Order",3,"2843216_Order"
225148,0,"zip",2578.20623709292,"AKL16","BAL17","AKL16_vs_BAL17",0,"_Order",4,"225148_Order"
304895,0,"zip",1029.76973707759,"AKL16","BAL17","AKL16_vs_BAL17",0,"_Family",5,"304895_Family"
2807512,0,"zip",2046.22056570386,"AKL16","DEN17","AKL16_vs_DEN17",0,"_Class",1,"2807512_Class"
2173,0,"zip",3374.30365374119,"AKL16","DEN17","AKL16_vs_DEN17",0,"_Class",2,"2173_Class"
33025,0,"zip",4497.21807315309,"AKL16","DEN17","AKL16_vs_DEN17",0,"_Order",3,"33025_Order"
304895,0,"zip",1433.22202426842,"AKL16","DEN17","AKL16_vs_DEN17",0,"_Order",4,"304895_Order"
1891644,0,"zip",2973.45724009519,"AKL16","DEN17","AKL16_vs_DEN17",0,"_Order",5,"1891644_Order"
2807512,0,"zip",3735.10914978749,"AKL16","DOH17","AKL16_vs_DOH17",0,"_Class",1,"2807512_Class"
2718,0,"zip",3632.87722368414,"AKL16","DOH17","AKL16_vs_DOH17",0,"_Order",2,"2718_Order"
1891644,0,"zip",9995.64663004009,"AKL16","DOH17","AKL16_vs_DOH17",0,"_Order",3,"1891644_Order"
2843216,0,"zip",3658.05281831777,"AKL16","DOH17","AKL16_vs_DOH17",0,"_Order",4,"2843216_Order"
2718,0,"zip",3680.51850468166,"AKL16","DOH17","AKL16_vs_DOH17",0,"_Family",5,"2718_Family"
2057,0,"zip",3058.56407090863,"AKL16","ILR17","AKL16_vs_ILR17",0,"_Phylum",1,"2057_Phylum"
42253,0,"zip",1399.12397681695,"AKL16","ILR17","AKL16_vs_ILR17",0,"_Phylum",2,"42253_Phylum"
3004094,0,"zip",3311.41207932103,"AKL16","ILR17","AKL16_vs_ILR17",0,"_Class",3,"3004094_Class"
120962,0,"zip",2250.47060456768,"AKL16","ILR17","AKL16_vs_ILR17",0,"_Class",4,"120962_Class"
2057,0,"zip",3059.24988653674,"AKL16","ILR17","AKL16_vs_ILR17",0,"_Class",5,"2057_Class"
2057,0,"zip",845.673900884444,"AKL16","MIN17","AKL16_vs_MIN17",0,"_Phylum",1,"2057_Phylum"
42253,0,"zip",844.618603294671,"AKL16","MIN17","AKL16_vs_MIN17",0,"_Phylum",2,"42253_Phylum"
3004094,0,"zip",638.647947968988,"AKL16","MIN17","AKL16_vs_MIN17",0,"_Class",3,"3004094_Class"
2057,0,"zip",845.722407368547,"AKL16","MIN17","AKL16_vs_MIN17",0,"_Class",4,"2057_Class"
2807512,0,"zip",1293.85674726242,"AKL16","MIN17","AKL16_vs_MIN17",0,"_Class",5,"2807512_Class"
2807512,0,"zip",2823.28243260137,"AKL16","NYC17","AKL16_vs_NYC17",0,"_Class",1,"2807512_Class"
2718,0,"zip",4825.56401877644,"AKL16","NYC17","AKL16_vs_NYC17",0,"_Order",2,"2718_Order"
304895,0,"zip",2252.24845466321,"AKL16","NYC17","AKL16_vs_NYC17",0,"_Order",3,"304895_Order"
1891644,0,"zip",2674.0351950396,"AKL16","NYC17","AKL16_vs_NYC17",0,"_Order",4,"1891644_Order"
2843216,0,"zip",4507.70805341705,"AKL16","NYC17","AKL16_vs_NYC17",0,"_Order",5,"2843216_Order"
2057,0,"zip",1008.88143334865,"AKL16","SAN17","AKL16_vs_SAN17",0,"_Phylum",1,"2057_Phylum"
42253,0,"zip",816.891542357666,"AKL16","SAN17","AKL16_vs_SAN17",0,"_Phylum",2,"42253_Phylum"
3004094,0,"zip",728.401682151709,"AKL16","SAN17","AKL16_vs_SAN17",0,"_Class",3,"3004094_Class"
2057,0,"zip",1008.93462194144,"AKL16","SAN17","AKL16_vs_SAN17",0,"_Class",4,"2057_Class"
2807512,0,"zip",1631.56800117155,"AKL16","SAN17","AKL16_vs_SAN17",0,"_Class",5,"2807512_Class"
297,0,"zip",185191.672859976,"AKL16","SAO17","AKL16_vs_SAO17",0,"_Class",1,"297_Class"
297,0,"zip",185208.611160787,"AKL16","SAO17","AKL16_vs_SAO17",0,"_Order",2,"297_Order"
2843216,0,"zip",7280.49494590816,"AKL16","SAO17","AKL16_vs_SAO17",0,"_Order",3,"2843216_Order"
297,0,"zip",185384.13185953,"AKL16","SAO17","AKL16_vs_SAO17",0,"_Family",4,"297_Family"
