,1,2,3,4,5,6,City
CAMDA23_MetaSUB_gCSD16_AKL_1,57488.0,85620.0,50818.0,30424.0,20820.0,29818.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_10,77603.0,115631.0,57104.0,39696.0,30498.0,44270.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_11,40418.0,61848.0,39391.0,25959.0,16678.0,23695.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_12,28961.0,43737.0,29327.0,16785.0,11001.0,17575.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_13,61297.0,89927.0,49834.0,41394.0,23732.0,34393.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_14,88108.0,154106.0,94902.0,46302.0,36043.0,45531.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_2,74310.0,110127.0,65041.0,38202.0,24101.0,35130.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_3,176780.0,380008.0,235950.0,105271.0,81639.0,92550.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_4,106490.0,198521.0,118997.0,60828.0,46307.0,57268.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_5,193338.0,437469.0,272032.0,117675.0,97644.0,108483.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_6,110483.0,174103.0,100350.0,67122.0,38239.0,58456.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_7,110362.0,209247.0,124997.0,59422.0,47630.0,61018.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_8,131075.0,248050.0,146470.0,70210.0,56648.0,72809.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_9,168026.0,362798.0,219552.0,95848.0,80619.0,97429.0,AKL
CAMDA23_MetaSUB_gCSD16_BER_1,15161.0,24479.0,13492.0,8617.0,5847.0,9430.0,BER
CAMDA23_MetaSUB_gCSD16_BER_10,211332.0,311835.0,176170.0,109415.0,77060.0,114109.0,BER
CAMDA23_MetaSUB_gCSD16_BER_11,135349.0,134412.0,94271.0,54532.0,28895.0,47878.0,BER
CAMDA23_MetaSUB_gCSD16_BER_12,233336.0,326878.0,195548.0,118872.0,80129.0,123107.0,BER
CAMDA23_MetaSUB_gCSD16_BER_13,207742.0,250068.0,159528.0,96546.0,55896.0,93207.0,BER
CAMDA23_MetaSUB_gCSD16_BER_14,133726.0,238387.0,117684.0,75629.0,63434.0,89432.0,BER
CAMDA23_MetaSUB_gCSD16_BER_15,959445.0,1455498.0,736977.0,438880.0,336366.0,489057.0,BER
CAMDA23_MetaSUB_gCSD16_BER_2,22032.0,30669.0,18015.0,11067.0,7586.0,11470.0,BER
CAMDA23_MetaSUB_gCSD16_BER_3,12100.0,21140.0,11423.0,7386.0,4980.0,8370.0,BER
CAMDA23_MetaSUB_gCSD16_BER_4,8815.0,16011.0,7678.0,5105.0,4410.0,6044.0,BER
