,1.1.1,1.1.2,1.1.3,1.1.5,1.1.98,1.1.99,1.10.3,1.11.1,1.11.2,1.12.1,1.12.2,1.12.7,1.12.98,1.12.99,1.13.11,1.13.12,1.14.11,1.14.12,1.14.13,1.14.14,1.14.15,1.14.16,1.14.18,1.14.19,1.14.21,1.14.99,1.15.1,1.16.1,1.16.3,1.17.1,1.17.2,1.17.4,1.17.7,1.17.99,1.18.1,1.18.6,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.2.7,1.2.99,1.20.4,1.21.98,1.21.99,1.3.1,1.3.3,1.3.5,1.3.7,1.3.8,1.3.98,1.3.99,1.4.1,1.4.3,1.4.7,1.4.99,1.5.1,1.6.1,1.6.3,1.6.5,1.6.99,1.7.1,1.7.2,1.7.99,1.8.1,1.8.2,1.8.4,1.8.5,1.8.7,1.8.98,1.8.99,1.9.3,1.97.1,2.1.1,2.1.2,2.1.3,2.10.1,2.2.1,2.3.1,2.3.2,2.3.3,2.4.1,2.4.2,2.4.99,2.5.1,2.6.1,2.6.99,2.7.1,2.7.10,2.7.11,2.7.13,2.7.14,2.7.2,2.7.3,2.7.4,2.7.6,2.7.7,2.7.8,2.7.9,2.8.1,2.8.3,2.8.4,2.9.1,3.1.1,3.1.11,3.1.13,3.1.2,3.1.21,3.1.22,3.1.26,3.1.3,3.1.31,3.1.4,3.1.5,3.1.6,3.2.1,3.2.2,3.3.1,3.3.2,3.4.11,3.4.13,3.4.14,3.4.15,3.4.16,3.4.17,3.4.19,3.4.21,3.4.22,3.4.23,3.4.24,3.4.25,3.5.1,3.5.2,3.5.3,3.5.4,3.5.5,3.5.99,3.6.1,3.6.3,3.6.4,3.6.5,3.7.1,3.8.1,3.9.1,4.1.1,4.1.2,4.1.3,4.1.99,4.2.1,4.2.2,4.2.3,4.2.99,4.3.1,4.3.2,4.3.3,4.3.99,4.4.1,4.6.1,4.7.1,4.99.1,5.1.1,5.1.3,5.2.1,5.3.1,5.3.2,5.3.3,5.3.99,5.4.1,5.4.2,5.4.3,5.4.4,5.4.99,5.5.1,5.99.1,6.1.1,6.2.1,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.4.1,6.5.1,6.6.1,City
CAMDA23_MetaSUB_gCSD16_AKL_1,12298.0,11.0,474.0,4.0,80.0,13.0,3597.0,3731.0,25.0,0.0,0.0,33.0,2.0,0.0,176.0,32.0,310.0,114.0,511.0,242.0,16.0,3.0,0.0,0.0,0.0,131.0,651.0,0.0,60.0,741.0,186.0,2965.0,339.0,508.0,230.0,18.0,8429.0,0.0,17.0,907.0,1291.0,132.0,4.0,1.0,10.0,0.0,2483.0,315.0,720.0,13.0,311.0,0.0,161.0,3769.0,87.0,1080.0,736.0,1466.0,1621.0,46.0,1157.0,470.0,289.0,1131.0,132.0,2124.0,136.0,632.0,5.0,33.0,0.0,0.0,279.0,0.0,7075.0,1657.0,1062.0,1.0,3270.0,9361.0,92.0,2361.0,731.0,4185.0,47.0,9132.0,3574.0,4.0,6006.0,114.0,836.0,6221.0,241.0,2620.0,683.0,1909.0,3160.0,14971.0,2334.0,44.0,2270.0,152.0,1503.0,4.0,243.0,16.0,190.0,257.0,368.0,1.0,1215.0,1768.0,0.0,170.0,1.0,7.0,1543.0,1414.0,1348.0,19.0,1876.0,9.0,0.0,126.0,6.0,429.0,115.0,3885.0,0.0,72.0,6.0,668.0,3665.0,173.0,635.0,652.0,4.0,331.0,2248.0,20042.0,5626.0,1294.0,332.0,27.0,37.0,4923.0,531.0,2178.0,1312.0,13390.0,21.0,1845.0,385.0,767.0,2269.0,550.0,293.0,530.0,388.0,589.0,453.0,1651.0,1938.0,253.0,3614.0,226.0,0.0,1.0,0.0,2615.0,547.0,80.0,2708.0,2.0,7185.0,10209.0,4049.0,402.0,2569.0,3.0,2138.0,5029.0,4008.0,1396.0,15.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_10,16027.0,84.0,0.0,253.0,20.0,44.0,2807.0,7224.0,4.0,0.0,0.0,7.0,0.0,2.0,1214.0,382.0,9.0,1107.0,2442.0,15.0,159.0,47.0,0.0,211.0,3.0,543.0,1025.0,2.0,230.0,1548.0,46.0,1517.0,1126.0,110.0,2228.0,207.0,9273.0,0.0,5.0,1429.0,362.0,13.0,2.0,3.0,118.0,0.0,4675.0,665.0,1393.0,0.0,200.0,0.0,318.0,3385.0,976.0,2692.0,1247.0,528.0,1536.0,7.0,1378.0,756.0,299.0,273.0,861.0,3603.0,3.0,897.0,5.0,0.0,0.0,0.0,56.0,2.0,12396.0,3037.0,1194.0,13.0,4812.0,13278.0,246.0,3565.0,1825.0,5626.0,114.0,11532.0,6602.0,447.0,4037.0,32.0,198.0,3535.0,58.0,4362.0,558.0,3091.0,2378.0,21664.0,1882.0,1995.0,4282.0,63.0,2695.0,114.0,1322.0,192.0,691.0,608.0,185.0,141.0,1987.0,1969.0,0.0,145.0,59.0,29.0,4724.0,1174.0,1819.0,1.0,2798.0,136.0,3.0,297.0,3.0,104.0,161.0,4770.0,0.0,48.0,13.0,174.0,2606.0,397.0,391.0,2189.0,1.0,64.0,1621.0,15537.0,7826.0,2705.0,176.0,33.0,5.0,5703.0,1381.0,2279.0,3141.0,18071.0,490.0,2896.0,667.0,1194.0,2293.0,566.0,59.0,353.0,387.0,166.0,50.0,1191.0,2402.0,1115.0,4416.0,166.0,486.0,4.0,0.0,3428.0,993.0,274.0,4115.0,9.0,11899.0,15332.0,6354.0,267.0,4590.0,40.0,3676.0,7982.0,4249.0,1778.0,2.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_11,10239.0,113.0,35.0,6.0,4.0,29.0,1017.0,5515.0,0.0,0.0,0.0,0.0,0.0,0.0,933.0,26.0,42.0,10.0,693.0,207.0,82.0,17.0,0.0,84.0,0.0,369.0,589.0,0.0,49.0,611.0,114.0,1273.0,492.0,10.0,314.0,7.0,4173.0,0.0,0.0,478.0,710.0,1.0,0.0,11.0,38.0,0.0,1755.0,260.0,829.0,0.0,182.0,0.0,40.0,1214.0,447.0,1449.0,294.0,378.0,723.0,0.0,347.0,539.0,100.0,13.0,966.0,1556.0,0.0,969.0,2.0,0.0,0.0,0.0,64.0,0.0,7283.0,1764.0,785.0,9.0,2176.0,8063.0,46.0,2163.0,1236.0,2080.0,322.0,4765.0,2777.0,116.0,2994.0,2.0,85.0,2847.0,0.0,1899.0,84.0,1766.0,1523.0,12247.0,1379.0,448.0,2162.0,3.0,822.0,2.0,582.0,60.0,303.0,280.0,53.0,24.0,972.0,1130.0,0.0,116.0,17.0,75.0,4012.0,1013.0,1726.0,33.0,1260.0,85.0,260.0,392.0,3.0,3.0,486.0,3136.0,0.0,2.0,2.0,226.0,1990.0,239.0,90.0,1028.0,0.0,81.0,1708.0,11603.0,4830.0,1419.0,111.0,41.0,0.0,3242.0,1576.0,886.0,2550.0,13034.0,777.0,1483.0,225.0,540.0,936.0,140.0,68.0,125.0,104.0,264.0,9.0,1107.0,1202.0,222.0,3935.0,4.0,17.0,0.0,0.0,1611.0,461.0,68.0,2776.0,1.0,5274.0,7495.0,4113.0,157.0,1504.0,16.0,1642.0,4272.0,3494.0,1000.0,2.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_12,7084.0,80.0,59.0,32.0,25.0,154.0,1168.0,2379.0,1.0,0.0,0.0,2.0,3.0,8.0,648.0,118.0,8.0,34.0,243.0,71.0,7.0,175.0,0.0,21.0,1.0,90.0,165.0,2.0,70.0,472.0,82.0,1200.0,331.0,11.0,94.0,8.0,3283.0,0.0,46.0,1092.0,150.0,17.0,12.0,1.0,2.0,0.0,494.0,147.0,773.0,67.0,42.0,25.0,81.0,1499.0,449.0,1106.0,86.0,162.0,1229.0,0.0,821.0,199.0,74.0,20.0,92.0,1334.0,3.0,546.0,9.0,22.0,0.0,0.0,111.0,121.0,3181.0,1278.0,466.0,11.0,2114.0,4430.0,20.0,1135.0,2195.0,1774.0,357.0,4138.0,2487.0,158.0,2122.0,18.0,537.0,2012.0,18.0,1510.0,163.0,896.0,1091.0,9289.0,521.0,97.0,1134.0,20.0,552.0,13.0,605.0,60.0,162.0,284.0,55.0,8.0,663.0,1004.0,0.0,179.0,11.0,186.0,4585.0,872.0,800.0,2.0,1082.0,14.0,2.0,133.0,10.0,19.0,148.0,2205.0,0.0,8.0,9.0,426.0,1155.0,556.0,128.0,1016.0,28.0,152.0,1324.0,7164.0,3393.0,856.0,13.0,10.0,0.0,1648.0,481.0,801.0,1478.0,8695.0,281.0,1143.0,437.0,160.0,901.0,364.0,4.0,119.0,193.0,24.0,56.0,535.0,955.0,370.0,1816.0,14.0,34.0,0.0,2.0,1458.0,137.0,26.0,1726.0,10.0,3918.0,4448.0,3042.0,255.0,1361.0,17.0,1510.0,3689.0,1992.0,1230.0,31.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_13,16739.0,3.0,0.0,11.0,0.0,153.0,2243.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,0.0,80.0,3.0,43.0,1.0,8.0,532.0,0.0,0.0,0.0,12.0,958.0,2.0,220.0,784.0,39.0,217.0,1270.0,21.0,50.0,2.0,6474.0,0.0,1.0,1047.0,1824.0,1.0,0.0,139.0,73.0,0.0,2106.0,352.0,1319.0,0.0,309.0,0.0,13.0,2153.0,314.0,2845.0,1014.0,253.0,1849.0,0.0,1193.0,751.0,170.0,2.0,15.0,2340.0,10.0,1102.0,0.0,0.0,0.0,0.0,29.0,2.0,10331.0,2349.0,1146.0,5.0,3912.0,11694.0,39.0,3788.0,1612.0,2868.0,72.0,8376.0,5074.0,280.0,3959.0,11.0,295.0,2122.0,0.0,2655.0,116.0,2559.0,1901.0,20150.0,1409.0,15.0,2625.0,0.0,559.0,5.0,647.0,26.0,359.0,658.0,4.0,0.0,1118.0,1477.0,0.0,39.0,6.0,102.0,3715.0,2204.0,2935.0,0.0,1587.0,9.0,0.0,124.0,6.0,2.0,1106.0,4862.0,0.0,9.0,1.0,519.0,1609.0,54.0,297.0,1574.0,1.0,75.0,3176.0,12089.0,7365.0,2078.0,1.0,0.0,0.0,4702.0,1106.0,1761.0,3747.0,22758.0,1213.0,2144.0,538.0,767.0,1583.0,109.0,1.0,598.0,342.0,15.0,10.0,543.0,1646.0,157.0,4481.0,69.0,225.0,0.0,0.0,3862.0,360.0,54.0,4670.0,0.0,7665.0,10817.0,5728.0,183.0,1715.0,2.0,2801.0,5499.0,5873.0,1775.0,0.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_14,19694.0,79.0,43.0,1621.0,9.0,53.0,3531.0,6218.0,7.0,0.0,0.0,1.0,8.0,1.0,2712.0,40.0,584.0,142.0,746.0,4.0,2.0,505.0,0.0,52.0,0.0,379.0,861.0,169.0,496.0,1388.0,628.0,2328.0,623.0,22.0,486.0,11.0,10091.0,0.0,12.0,1961.0,812.0,1.0,0.0,20.0,6.0,0.0,5659.0,1033.0,2206.0,13.0,142.0,0.0,753.0,3033.0,1292.0,1820.0,1711.0,1345.0,1239.0,0.0,1714.0,439.0,706.0,25.0,1031.0,5196.0,15.0,1509.0,805.0,4.0,0.0,0.0,72.0,0.0,18716.0,4001.0,1687.0,418.0,6796.0,15714.0,171.0,2096.0,4893.0,6623.0,440.0,13004.0,10608.0,364.0,11438.0,164.0,486.0,6471.0,3.0,3099.0,713.0,4196.0,2813.0,26204.0,3247.0,2334.0,4528.0,14.0,2424.0,441.0,3030.0,3718.0,2140.0,1485.0,531.0,279.0,2898.0,6251.0,0.0,2813.0,460.0,46.0,7211.0,2230.0,1348.0,78.0,3248.0,1272.0,71.0,1071.0,486.0,405.0,801.0,6365.0,0.0,131.0,18.0,701.0,5649.0,606.0,935.0,2317.0,36.0,564.0,5086.0,15070.0,13153.0,2201.0,192.0,6.0,0.0,6261.0,2818.0,4527.0,3872.0,19467.0,27.0,2462.0,1033.0,1412.0,1930.0,460.0,1.0,1227.0,474.0,330.0,1.0,2906.0,3306.0,1768.0,6097.0,211.0,205.0,0.0,0.0,3331.0,821.0,622.0,5414.0,26.0,11336.0,13626.0,5248.0,672.0,7335.0,483.0,3429.0,8188.0,3948.0,2564.0,38.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_2,15165.0,6.0,2.0,1604.0,2.0,0.0,1776.0,5497.0,1.0,0.0,0.0,0.0,0.0,0.0,1756.0,1.0,577.0,43.0,2379.0,0.0,0.0,122.0,0.0,0.0,0.0,11.0,764.0,1.0,275.0,1217.0,424.0,481.0,788.0,2.0,1369.0,0.0,11819.0,2.0,1.0,1606.0,27.0,0.0,0.0,0.0,0.0,0.0,3821.0,679.0,1645.0,2.0,89.0,0.0,428.0,5376.0,1285.0,1159.0,4834.0,389.0,1338.0,0.0,1315.0,307.0,233.0,6.0,144.0,2192.0,0.0,1170.0,2.0,0.0,0.0,0.0,176.0,2.0,11221.0,3419.0,2841.0,350.0,3933.0,12190.0,0.0,2911.0,1200.0,5626.0,843.0,11070.0,10192.0,450.0,4463.0,746.0,242.0,3037.0,0.0,3605.0,464.0,2745.0,1841.0,16697.0,1501.0,2062.0,3835.0,50.0,2200.0,393.0,3367.0,2674.0,994.0,1454.0,12.0,160.0,3515.0,3056.0,0.0,895.0,8.0,1618.0,490.0,1497.0,743.0,0.0,2414.0,11.0,1.0,23.0,50.0,4.0,2.0,3806.0,0.0,95.0,0.0,521.0,6824.0,1148.0,1493.0,4194.0,163.0,1.0,1423.0,12060.0,8704.0,1557.0,3.0,61.0,0.0,7771.0,315.0,3448.0,2505.0,17426.0,0.0,1562.0,596.0,1375.0,1676.0,536.0,1.0,572.0,413.0,6.0,0.0,2400.0,1778.0,1070.0,3343.0,28.0,4.0,0.0,0.0,2962.0,650.0,20.0,2279.0,208.0,9359.0,10183.0,4845.0,550.0,4634.0,172.0,2503.0,5729.0,3970.0,2244.0,300.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_3,45018.0,2.0,53.0,3900.0,0.0,9.0,5550.0,10434.0,0.0,0.0,0.0,0.0,0.0,0.0,2996.0,20.0,1991.0,240.0,1675.0,119.0,1.0,18.0,0.0,0.0,3.0,1841.0,1323.0,310.0,1105.0,2977.0,557.0,10109.0,1993.0,50.0,1166.0,0.0,18437.0,0.0,123.0,1795.0,2845.0,0.0,2.0,0.0,50.0,0.0,10535.0,1484.0,4553.0,0.0,32.0,0.0,2431.0,1551.0,3591.0,949.0,2167.0,4297.0,2971.0,0.0,2757.0,528.0,1637.0,3.0,2980.0,15763.0,1.0,1806.0,21.0,3.0,0.0,0.0,6.0,2.0,51647.0,7263.0,3472.0,1884.0,17043.0,41236.0,79.0,3008.0,17362.0,18703.0,788.0,27997.0,29047.0,1166.0,31570.0,136.0,2551.0,17802.0,32.0,7966.0,3084.0,10890.0,6440.0,52862.0,7861.0,3787.0,9455.0,11.0,3836.0,1030.0,6433.0,12303.0,8157.0,2190.0,2275.0,812.0,5891.0,22482.0,0.0,5305.0,1676.0,19.0,12952.0,5800.0,388.0,133.0,10165.0,5082.0,191.0,2005.0,2083.0,1466.0,1843.0,14526.0,0.0,1149.0,28.0,1061.0,15721.0,2625.0,3723.0,7230.0,0.0,1940.0,11722.0,32298.0,29141.0,3408.0,1689.0,35.0,3.0,16869.0,8402.0,6150.0,5758.0,40553.0,254.0,6129.0,2260.0,5522.0,4810.0,1513.0,8.0,4895.0,947.0,1187.0,14.0,6155.0,8177.0,7229.0,14241.0,884.0,12.0,2.0,21.0,7045.0,1029.0,605.0,13136.0,16.0,23087.0,26636.0,8170.0,2739.0,18098.0,1736.0,9387.0,15852.0,5865.0,4042.0,25.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_4,24968.0,2.0,5.0,1530.0,17.0,9.0,3967.0,7076.0,0.0,0.0,0.0,0.0,0.0,0.0,3598.0,45.0,666.0,485.0,1359.0,1.0,11.0,517.0,0.0,74.0,0.0,649.0,764.0,161.0,734.0,1775.0,900.0,3718.0,869.0,8.0,918.0,0.0,11364.0,0.0,6.0,1792.0,1177.0,0.0,0.0,3.0,2.0,0.0,6731.0,1232.0,3839.0,0.0,128.0,0.0,1046.0,2565.0,1511.0,1695.0,2026.0,1783.0,2034.0,0.0,1462.0,418.0,961.0,17.0,1346.0,7156.0,26.0,1188.0,65.0,1.0,0.0,0.0,89.0,1.0,25468.0,4499.0,2304.0,670.0,8566.0,21336.0,244.0,2528.0,7110.0,9438.0,407.0,16886.0,14474.0,600.0,13859.0,106.0,508.0,7146.0,0.0,4340.0,1245.0,5601.0,3631.0,31622.0,3671.0,2883.0,5390.0,30.0,3300.0,659.0,3932.0,5176.0,3294.0,1834.0,836.0,440.0,3752.0,9300.0,0.0,2731.0,907.0,22.0,5222.0,2787.0,1104.0,2.0,4614.0,2131.0,84.0,1312.0,775.0,563.0,898.0,7963.0,0.0,239.0,257.0,662.0,7397.0,922.0,1738.0,4087.0,675.0,888.0,6161.0,16388.0,16433.0,2716.0,669.0,86.0,0.0,8235.0,3344.0,6412.0,4517.0,24963.0,35.0,3531.0,1291.0,2272.0,2708.0,593.0,3.0,1890.0,626.0,408.0,0.0,3706.0,3950.0,2826.0,7549.0,1197.0,62.0,0.0,0.0,4067.0,872.0,387.0,6900.0,42.0,14749.0,17306.0,6432.0,1207.0,9505.0,645.0,4433.0,10583.0,4474.0,2656.0,27.0,AKL
CAMDA23_MetaSUB_gCSD16_AKL_5,51395.0,11.0,0.0,20.0,1.0,56.0,6299.0,11237.0,0.0,0.0,0.0,0.0,0.0,0.0,3255.0,2.0,2315.0,475.0,1878.0,15.0,80.0,0.0,0.0,0.0,0.0,1888.0,1341.0,453.0,1488.0,3555.0,167.0,12097.0,2295.0,112.0,1534.0,0.0,19625.0,0.0,119.0,1872.0,3228.0,19.0,0.0,1.0,8.0,0.0,11137.0,1581.0,5227.0,0.0,70.0,0.0,3063.0,1337.0,4017.0,937.0,2251.0,4827.0,3297.0,0.0,2505.0,661.0,2076.0,0.0,2025.0,20030.0,2.0,1411.0,5.0,0.0,0.0,0.0,34.0,4.0,61800.0,7916.0,4334.0,1952.0,15907.0,48032.0,5.0,3273.0,19321.0,22151.0,989.0,33049.0,33483.0,1444.0,38289.0,20.0,3327.0,20205.0,38.0,9111.0,3663.0,13020.0,7868.0,61729.0,8837.0,4057.0,10564.0,10.0,3073.0,2.0,7576.0,13889.0,9613.0,2583.0,2949.0,1062.0,7164.0,26962.0,0.0,6330.0,2468.0,4.0,13176.0,6821.0,583.0,0.0,11524.0,5818.0,250.0,2789.0,2495.0,1738.0,2105.0,17556.0,0.0,1867.0,3.0,1167.0,17630.0,2342.0,4043.0,8022.0,2.0,2416.0,14557.0,33441.0,35012.0,4076.0,1994.0,1.0,4.0,20764.0,8848.0,6513.0,5786.0,43081.0,298.0,7186.0,2480.0,6846.0,5536.0,1717.0,37.0,5908.0,1220.0,1366.0,89.0,7317.0,11162.0,8945.0,17091.0,23.0,15.0,0.0,0.0,8077.0,1397.0,20.0,16168.0,0.0,27429.0,31725.0,9707.0,3266.0,20784.0,1798.0,10816.0,18696.0,6990.0,4701.0,0.0,AKL
