Sample	City	Taxon	(R)- and (S)-3-hydroxybutyrate biosynthesis	1,5-anhydrofructose degradation	2-aminoethylphosphonate degradation I	2-aminoethylphosphonate degradation II	3-methylbutanol biosynthesis	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism	<i>all-trans</i>-farnesol biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	AEROBIC-RESPIRATION	AMINE-DEG	ANAEROBIC-RESPIRATION	AROMATIC-COMPOUNDS-BIOSYN	AROMATIC-COMPOUNDS-DEGRADATION	Acetoin-Biosynthesis	Acetyl-CoA-Biosynthesis	Acetyl-CoA-Butyrate	Acid-Resistance	Activation	Alcohol-Degradation	Aldehyde-Degradation	Amino-Acid-Biosynthesis	Amino-Acid-Degradation	Aminoacyl-tRNAs-Charging	Antibiotic-Resistance	Arsenate-Detoxification	Butanediol-Biosynthesis	C1-COMPOUNDS	C4 photosynthetic carbon assimilation cycle, NAD-ME type	C4 photosynthetic carbon assimilation cycle, NADP-ME type	C4 photosynthetic carbon assimilation cycle, PEPCK type	CARBOXYLATES-DEG	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	CHLORINATED-COMPOUNDS-DEG	Carbohydrates-Biosynthesis	Carbohydrates-Degradation	Cell-Structure-Biosynthesis	Cofactor-Biosynthesis	Cyanide-Detoxification	Electron-Transfer	Entner-Duodoroff-Pathways	Fatty-Acid-and-Lipid-Degradation	GLYCOLYSIS-VARIANTS	HORMONE-DEG	HORMONE-SYN	Hydrogen-Production	Interconversion	Lipid-Biosynthesis	METHANOGENESIS	Mercury-Detoxification	Metabolic-Regulators	NUCLEO-DEG	Noncarbon-Nutrients	Nucleotide-Biosynthesis	OTHER-ENERGY	Other-Degradation	Other-biosynthesis	Pentose-Phosphate-Cycle	Polyamine-Biosynthesis	Polymer-Degradation	Protein-Degradation	Pyruvate-Degradation	Rubisco shunt	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-DEGRADATION	Siderophores-Biosynthesis	Steroids-Degradation	TCA-VARIANTS	anaerobic energy metabolism (invertebrates, cytosol)	anaerobic energy metabolism (invertebrates, mitochondrial)	bisabolene biosynthesis	chitin degradation to ethanol	citrulline biosynthesis	detoxification of reactive carbonyls in chloroplasts	ethylene glycol biosynthesis	fluoroacetate degradation	glutathione-mediated detoxification II	glyoxylate cycle	heterolactic fermentation	lactate biosynthesis (archaea)	methyl ketone biosynthesis	methylaspartate cycle	mixed acid fermentation	oxidized GTP and dGTP detoxification	photorespiration	photosynthesis light reactions	photosynthetic 3-hydroxybutyrate biosynthesis	pyruvate fermentation to hexanol	sedoheptulose bisphosphate bypass	succinate fermentation to butyrate	superoxide radicals degradation	superpathway of C28 brassinosteroid biosynthesis	superpathway of glycolysis and Entner-Doudoroff	superpathway of glyoxylate cycle and fatty acid degradation
BAL_Kl_2015_GCF_003334885.1	BAL	Kl	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	25.0	7.0	9.0	51.0	3.0	1.0	0.0	1.0	2.0	12.0	5.0	63.0	50.0	1.0	1.0	2.0	2.0	13.0	1.0	1.0	1.0	15.0	1.0	4.0	64.0	41.0	18.0	107.0	0.0	1.0	2.0	15.0	8.0	6.0	13.0	0.0	1.0	51.0	2.0	0.0	1.0	17.0	38.0	37.0	2.0	8.0	12.0	4.0	18.0	15.0	2.0	9.0	1.0	192.0	37.0	7.0	4.0	8.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
BAL_Kl_2015_GCF_003334895.1	BAL	Kl	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	17.0	7.0	9.0	48.0	3.0	1.0	0.0	1.0	2.0	11.0	5.0	62.0	51.0	1.0	1.0	2.0	2.0	13.0	1.0	1.0	1.0	14.0	1.0	5.0	59.0	41.0	19.0	107.0	0.0	1.0	1.0	14.0	8.0	4.0	13.0	0.0	1.0	51.0	2.0	0.0	1.0	16.0	36.0	37.0	2.0	5.0	10.0	4.0	18.0	15.0	2.0	9.0	1.0	189.0	37.0	6.0	4.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
BAL_Kl_2015_GCF_003334925.1	BAL	Kl	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	25.0	7.0	9.0	51.0	3.0	1.0	0.0	1.0	2.0	12.0	5.0	63.0	50.0	1.0	1.0	2.0	2.0	13.0	1.0	1.0	1.0	15.0	1.0	4.0	64.0	41.0	18.0	107.0	0.0	1.0	2.0	15.0	8.0	6.0	13.0	0.0	1.0	51.0	2.0	0.0	1.0	17.0	38.0	37.0	2.0	8.0	12.0	4.0	18.0	15.0	2.0	9.0	1.0	192.0	37.0	7.0	4.0	8.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
BAL_Kl_2015_GCF_003334945.1	BAL	Kl	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	17.0	7.0	9.0	48.0	3.0	1.0	0.0	1.0	2.0	11.0	5.0	62.0	51.0	1.0	1.0	2.0	2.0	13.0	1.0	1.0	1.0	14.0	1.0	5.0	59.0	41.0	19.0	107.0	0.0	1.0	1.0	14.0	8.0	4.0	13.0	0.0	1.0	51.0	2.0	0.0	1.0	17.0	38.0	37.0	2.0	5.0	10.0	4.0	18.0	15.0	2.0	9.0	1.0	189.0	37.0	6.0	4.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
BAL_Kl_2015_GCF_003334955.1	BAL	Kl	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	17.0	7.0	9.0	48.0	3.0	1.0	0.0	1.0	2.0	11.0	5.0	62.0	51.0	1.0	1.0	2.0	2.0	13.0	1.0	1.0	1.0	14.0	1.0	5.0	59.0	41.0	19.0	107.0	0.0	1.0	1.0	14.0	8.0	4.0	13.0	0.0	1.0	51.0	2.0	0.0	1.0	17.0	38.0	37.0	2.0	5.0	10.0	4.0	18.0	15.0	2.0	9.0	1.0	189.0	37.0	6.0	4.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
BAL_Kl_2015_GCF_003334965.1	BAL	Kl	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	17.0	7.0	9.0	48.0	3.0	1.0	0.0	1.0	2.0	11.0	5.0	62.0	51.0	1.0	1.0	2.0	2.0	13.0	1.0	1.0	1.0	14.0	1.0	5.0	59.0	41.0	19.0	107.0	0.0	1.0	1.0	14.0	8.0	4.0	13.0	0.0	1.0	51.0	2.0	0.0	1.0	17.0	38.0	37.0	2.0	5.0	10.0	4.0	18.0	15.0	2.0	9.0	1.0	189.0	37.0	6.0	4.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
BAL_Kl_2015_GCF_003335005.1	BAL	Kl	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	25.0	7.0	9.0	51.0	3.0	1.0	0.0	1.0	2.0	12.0	5.0	63.0	50.0	1.0	1.0	2.0	2.0	13.0	1.0	1.0	1.0	15.0	1.0	4.0	64.0	41.0	18.0	107.0	0.0	1.0	2.0	15.0	8.0	6.0	13.0	0.0	1.0	51.0	2.0	0.0	1.0	17.0	38.0	37.0	2.0	8.0	12.0	4.0	18.0	15.0	2.0	9.0	1.0	192.0	37.0	7.0	4.0	8.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
BAL_Kl_2015_GCF_003335025.1	BAL	Kl	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	25.0	7.0	9.0	51.0	3.0	1.0	0.0	1.0	2.0	12.0	5.0	63.0	50.0	1.0	1.0	2.0	2.0	13.0	1.0	1.0	1.0	15.0	1.0	4.0	64.0	41.0	18.0	107.0	0.0	1.0	2.0	15.0	8.0	6.0	13.0	0.0	1.0	51.0	2.0	0.0	1.0	17.0	38.0	37.0	2.0	8.0	12.0	4.0	18.0	15.0	2.0	9.0	1.0	192.0	37.0	7.0	4.0	8.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
BAL_Kl_2015_GCF_003335065.1	BAL	Kl	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	17.0	7.0	9.0	48.0	3.0	1.0	0.0	1.0	2.0	11.0	5.0	62.0	51.0	1.0	1.0	2.0	2.0	13.0	1.0	1.0	1.0	14.0	1.0	5.0	64.0	41.0	19.0	107.0	0.0	1.0	1.0	14.0	8.0	4.0	13.0	0.0	1.0	51.0	2.0	0.0	1.0	17.0	38.0	37.0	2.0	5.0	10.0	4.0	18.0	15.0	2.0	9.0	1.0	189.0	37.0	6.0	4.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
BAL_Kl_2015_GCF_003345685.1	BAL	Kl	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	25.0	7.0	9.0	51.0	3.0	1.0	0.0	1.0	2.0	12.0	5.0	63.0	50.0	1.0	1.0	2.0	2.0	13.0	1.0	1.0	1.0	15.0	1.0	4.0	64.0	41.0	18.0	107.0	0.0	1.0	2.0	15.0	8.0	6.0	13.0	0.0	1.0	56.0	2.0	0.0	1.0	17.0	38.0	37.0	2.0	8.0	12.0	4.0	18.0	15.0	2.0	9.0	1.0	192.0	37.0	7.0	4.0	8.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
