Sample	City	Taxon	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	CMP-legionaminate biosynthesis I
BAL_Kl_2015_GCF_003334885.1	BAL	Kl	0.0	6.142857142857143
BAL_Kl_2015_GCF_003334895.1	BAL	Kl	0.0	6.0
BAL_Kl_2015_GCF_003334925.1	BAL	Kl	0.0	6.428571428571429
BAL_Kl_2015_GCF_003334945.1	BAL	Kl	0.0	6.571428571428571
BAL_Kl_2015_GCF_003334955.1	BAL	Kl	0.0	6.0
BAL_Kl_2015_GCF_003334965.1	BAL	Kl	0.0	6.0
BAL_Kl_2015_GCF_003335005.1	BAL	Kl	0.0	6.142857142857143
BAL_Kl_2015_GCF_003335025.1	BAL	Kl	0.0	6.142857142857143
BAL_Kl_2015_GCF_003335065.1	BAL	Kl	0.0	6.0
BAL_Kl_2015_GCF_003345685.1	BAL	Kl	0.0	6.142857142857143
BAL_Kl_2015_GCF_003345715.1	BAL	Kl	0.0	6.0
BAL_Kl_2015_GCF_003345765.1	BAL	Kl	0.0	6.0
BAL_Kl_2017_GCF_003860845.1	BAL	Kl	0.0	5.857142857142857
BAL_Kl_2017_GCF_003860885.1	BAL	Kl	0.0	5.857142857142857
BAL_Kl_2017_GCF_003860895.1	BAL	Kl	0.0	6.142857142857143
BAL_Kl_2017_GCF_003860985.1	BAL	Kl	0.0	7.0
BAL_Kl_2017_GCF_003860995.1	BAL	Kl	0.0	6.285714285714286
BAL_Kl_2017_GCF_003861035.1	BAL	Kl	0.0	5.857142857142857
BAL_Kl_2017_GCF_003861085.1	BAL	Kl	0.0	7.428571428571429
BAL_Kl_2017_GCF_003861135.1	BAL	Kl	0.0	6.142857142857143
BAL_Kl_2017_GCF_003861255.1	BAL	Kl	0.0	6.857142857142857
BAL_Kl_2017_GCF_003861365.1	BAL	Kl	0.0	5.714285714285714
BAL_Kl_2017_GCF_003861425.1	BAL	Kl	0.0	6.0
BAL_Kl_2017_GCF_003861435.1	BAL	Kl	0.0	6.142857142857143
BAL_Kl_2017_GCF_003861475.1	BAL	Kl	0.0	6.428571428571429
BAL_Kl_2017_GCF_003861575.1	BAL	Kl	0.0	6.142857142857143
MIN_Es_2017_GCF_013423565.1	MIN	Es	0.0	5.285714285714286
MIN_Es_2017_GCF_013423645.1	MIN	Es	0.0	5.285714285714286
NYC_En_2015_GCF_029069505.1	NYC	En	0.0	5.714285714285714
NYC_En_2015_GCF_029069575.1	NYC	En	0.0	6.0
NYC_En_2015_GCF_029069675.1	NYC	En	0.0	6.0
NYC_En_2015_GCF_029069825.1	NYC	En	0.0	6.0
NYC_En_2015_GCF_029070195.1	NYC	En	0.0	5.857142857142857
NYC_En_2015_GCF_029075245.1	NYC	En	0.0	6.285714285714286
NYC_En_2016_GCF_020783935.1	NYC	En	0.0	5.571428571428571
