	City	Taxon	1.1.1	1.1.3	1.1.5	1.1.98	1.10.3	1.10.5	1.11.1	1.12.2	1.12.5	1.12.7	1.12.99	1.13.11	1.13.12	1.14.11	1.14.12	1.14.13	1.14.14	1.14.99	1.15.1	1.16.1	1.16.3	1.17.1	1.17.4	1.17.7	1.17.99	1.18.1	1.2.1	1.2.4	1.2.5	1.2.7	1.2.98	1.2.99	1.20.1	1.20.4	1.3.1	1.3.3	1.3.5	1.3.7	1.3.8	1.3.99	1.4.1	1.4.3	1.4.4	1.4.7	1.5.1	1.5.3	1.5.8	1.6.1	1.6.2	1.6.5	1.6.6	1.6.99	1.7.1	1.7.2	1.7.3	1.7.5	1.7.99	1.8.1	1.8.4	1.8.5	1.8.7	1.9.6	1.97.1	2.1.1	2.1.2	2.1.3	2.10.1	2.2.1	2.3.1	2.3.2	2.3.3	2.4.1	2.4.2	2.4.99	2.5.1	2.6.1	2.6.99	2.7.1	2.7.10	2.7.11	2.7.13	2.7.2	2.7.3	2.7.4	2.7.6	2.7.7	2.7.8	2.7.9	2.8.1	2.8.2	2.8.3	2.8.4	2.9.1	3.1.1	3.1.11	3.1.13	3.1.2	3.1.21	3.1.22	3.1.26	3.1.3	3.1.4	3.1.5	3.1.6	3.1.8	3.11.1	3.2.1	3.2.2	3.3.2	3.4.11	3.4.13	3.4.15	3.4.16	3.4.17	3.4.19	3.4.21	3.4.22	3.4.23	3.4.24	3.4.25	3.4.99	3.5.1	3.5.2	3.5.3	3.5.4	3.5.99	3.6.1	3.6.4	3.6.5	3.7.1	3.8.1	4.1.1	4.1.2	4.1.3	4.1.99	4.2.1	4.2.2	4.2.3	4.2.99	4.3.1	4.3.2	4.3.3	4.3.99	4.4.1	4.6.1	4.99.1	5.1.1	5.1.2	5.1.3	5.1.99	5.2.1	5.3.1	5.3.2	5.3.3	5.3.4	5.4.2	5.4.3	5.4.4	5.4.99	5.5.1	5.6.1	5.6.2	6.1.1	6.1.2	6.2.1	6.3.1	6.3.2	6.3.3	6.3.4	6.3.5	6.4.1	6.5.1	7.1.1	7.1.2	7.2.1	7.2.2	7.2.4	7.3.2	7.4.2	7.5.2	7.6.2
BAL_Kl_2015_GCF_003334885	BAL	Kl	96.0	2.0	1.0	1.0	1.0	1.0	9.0	0.0	0.0	1.0	0.0	6.0	1.0	4.0	2.0	4.0	5.0	1.0	2.0	0.0	5.0	3.0	2.0	2.0	0.0	2.0	47.0	4.0	1.0	1.0	0.0	0.0	0.0	2.0	13.0	2.0	5.0	0.0	0.0	3.0	5.0	3.0	1.0	1.0	13.0	1.0	0.0	2.0	0.0	6.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	11.0	4.0	1.0	2.0	0.0	3.0	44.0	5.0	3.0	1.0	10.0	43.0	3.0	5.0	12.0	19.0	1.0	29.0	28.0	2.0	48.0	1.0	2.0	4.0	10.0	2.0	12.0	3.0	36.0	5.0	2.0	11.0	0.0	2.0	0.0	1.0	12.0	7.0	2.0	3.0	4.0	1.0	7.0	24.0	10.0	2.0	1.0	1.0	1.0	34.0	17.0	1.0	10.0	4.0	1.0	3.0	2.0	3.0	11.0	0.0	3.0	2.0	2.0	1.0	28.0	6.0	7.0	13.0	3.0	24.0	10.0	6.0	4.0	0.0	27.0	19.0	8.0	3.0	41.0	4.0	6.0	2.0	13.0	3.0	1.0	1.0	8.0	3.0	1.0	7.0	0.0	9.0	1.0	3.0	19.0	0.0	5.0	1.0	8.0	1.0	2.0	18.0	3.0	2.0	6.0	26.0	0.0	6.0	4.0	12.0	2.0	9.0	4.0	5.0	1.0	3.0	2.0	1.0	11.0	1.0	1.0	5.0	5.0	8.0
BAL_Kl_2015_GCF_003334895	BAL	Kl	87.0	2.0	1.0	1.0	1.0	1.0	9.0	0.0	0.0	1.0	0.0	6.0	1.0	4.0	2.0	4.0	5.0	1.0	2.0	0.0	4.0	3.0	3.0	2.0	0.0	2.0	41.0	4.0	1.0	1.0	0.0	0.0	0.0	2.0	13.0	2.0	5.0	0.0	0.0	3.0	5.0	3.0	1.0	1.0	12.0	1.0	0.0	2.0	0.0	6.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	10.0	4.0	1.0	1.0	0.0	3.0	50.0	5.0	3.0	1.0	8.0	46.0	3.0	4.0	12.0	19.0	1.0	28.0	28.0	2.0	45.0	1.0	2.0	5.0	10.0	1.0	12.0	3.0	38.0	6.0	3.0	11.0	0.0	2.0	0.0	1.0	11.0	7.0	2.0	3.0	7.0	1.0	7.0	23.0	9.0	1.0	1.0	1.0	1.0	34.0	17.0	1.0	8.0	3.0	2.0	2.0	2.0	3.0	10.0	0.0	2.0	2.0	2.0	1.0	24.0	8.0	6.0	11.0	3.0	21.0	7.0	4.0	4.0	0.0	27.0	15.0	9.0	3.0	39.0	4.0	6.0	2.0	12.0	3.0	1.0	1.0	8.0	3.0	1.0	6.0	0.0	9.0	1.0	3.0	20.0	0.0	5.0	1.0	9.0	1.0	2.0	17.0	3.0	2.0	6.0	22.0	0.0	6.0	5.0	12.0	2.0	9.0	4.0	4.0	1.0	3.0	2.0	1.0	7.0	1.0	1.0	4.0	5.0	6.0
BAL_Kl_2015_GCF_003334925	BAL	Kl	116.0	2.0	1.0	1.0	1.0	1.0	14.0	0.0	0.0	1.0	0.0	6.0	1.0	5.0	2.0	4.0	5.0	1.0	2.0	0.0	6.0	4.0	3.0	2.0	0.0	3.0	84.0	6.0	1.0	1.0	0.0	0.0	0.0	3.0	15.0	2.0	5.0	0.0	0.0	6.0	7.0	3.0	1.0	1.0	16.0	1.0	0.0	2.0	0.0	7.0	1.0	2.0	3.0	1.0	1.0	2.0	1.0	11.0	4.0	1.0	2.0	0.0	3.0	45.0	5.0	3.0	1.0	12.0	54.0	3.0	8.0	12.0	20.0	1.0	37.0	31.0	2.0	57.0	1.0	2.0	10.0	13.0	3.0	12.0	3.0	52.0	5.0	2.0	13.0	0.0	4.0	0.0	1.0	12.0	7.0	2.0	4.0	4.0	1.0	7.0	25.0	10.0	3.0	1.0	1.0	1.0	40.0	17.0	1.0	10.0	4.0	1.0	6.0	2.0	3.0	16.0	0.0	3.0	2.0	2.0	1.0	33.0	7.0	7.0	13.0	3.0	29.0	16.0	7.0	4.0	0.0	28.0	23.0	8.0	3.0	45.0	5.0	6.0	3.0	13.0	3.0	1.0	1.0	11.0	3.0	1.0	7.0	0.0	10.0	1.0	6.0	20.0	0.0	5.0	2.0	9.0	1.0	2.0	18.0	3.0	2.0	9.0	26.0	0.0	6.0	4.0	13.0	3.0	10.0	4.0	5.0	1.0	4.0	2.0	2.0	16.0	1.0	1.0	12.0	8.0	11.0
BAL_Kl_2015_GCF_003334945	BAL	Kl	108.0	2.0	1.0	1.0	1.0	1.0	14.0	0.0	0.0	1.0	0.0	6.0	1.0	4.0	2.0	4.0	5.0	1.0	2.0	0.0	5.0	5.0	4.0	2.0	0.0	4.0	88.0	6.0	1.0	1.0	0.0	0.0	0.0	3.0	15.0	2.0	5.0	0.0	0.0	6.0	7.0	3.0	1.0	1.0	18.0	1.0	0.0	2.0	0.0	7.0	1.0	2.0	3.0	1.0	1.0	2.0	1.0	10.0	4.0	1.0	2.0	0.0	3.0	52.0	5.0	4.0	1.0	11.0	61.0	3.0	7.0	11.0	22.0	1.0	38.0	33.0	2.0	57.0	1.0	2.0	9.0	12.0	2.0	12.0	3.0	52.0	5.0	2.0	14.0	0.0	4.0	0.0	1.0	12.0	7.0	2.0	4.0	7.0	1.0	8.0	23.0	10.0	3.0	1.0	1.0	1.0	40.0	17.0	1.0	10.0	3.0	1.0	6.0	2.0	3.0	16.0	0.0	2.0	2.0	2.0	1.0	31.0	10.0	6.0	12.0	3.0	29.0	17.0	8.0	4.0	0.0	28.0	22.0	9.0	3.0	43.0	6.0	6.0	3.0	13.0	3.0	1.0	1.0	11.0	3.0	1.0	8.0	0.0	10.0	1.0	5.0	20.0	0.0	5.0	2.0	9.0	1.0	2.0	18.0	3.0	2.0	10.0	24.0	0.0	6.0	4.0	13.0	3.0	10.0	4.0	5.0	1.0	4.0	2.0	2.0	15.0	1.0	1.0	12.0	10.0	11.0
BAL_Kl_2015_GCF_003334955	BAL	Kl	97.0	2.0	1.0	1.0	1.0	1.0	13.0	0.0	0.0	1.0	0.0	6.0	1.0	6.0	2.0	4.0	5.0	1.0	2.0	0.0	5.0	4.0	4.0	2.0	0.0	3.0	81.0	5.0	1.0	1.0	0.0	0.0	0.0	3.0	13.0	2.0	5.0	0.0	0.0	6.0	7.0	3.0	1.0	1.0	16.0	1.0	0.0	2.0	0.0	7.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	9.0	4.0	1.0	2.0	0.0	3.0	48.0	5.0	4.0	1.0	11.0	51.0	3.0	7.0	11.0	20.0	1.0	35.0	31.0	2.0	52.0	1.0	2.0	6.0	12.0	2.0	12.0	3.0	44.0	5.0	2.0	13.0	0.0	2.0	0.0	1.0	12.0	7.0	2.0	4.0	7.0	1.0	7.0	22.0	10.0	2.0	1.0	1.0	1.0	38.0	17.0	1.0	10.0	3.0	1.0	5.0	2.0	3.0	15.0	0.0	2.0	2.0	2.0	1.0	29.0	9.0	6.0	12.0	3.0	26.0	15.0	5.0	4.0	0.0	28.0	22.0	9.0	3.0	43.0	6.0	6.0	3.0	13.0	3.0	1.0	1.0	8.0	3.0	1.0	7.0	0.0	10.0	1.0	3.0	19.0	0.0	5.0	1.0	9.0	1.0	2.0	18.0	3.0	2.0	9.0	23.0	0.0	6.0	4.0	12.0	3.0	9.0	4.0	5.0	1.0	4.0	2.0	2.0	12.0	1.0	1.0	8.0	7.0	9.0
BAL_Kl_2015_GCF_003334965	BAL	Kl	104.0	2.0	1.0	1.0	1.0	1.0	14.0	0.0	0.0	1.0	0.0	6.0	1.0	4.0	2.0	4.0	5.0	1.0	2.0	0.0	5.0	5.0	4.0	2.0	0.0	3.0	79.0	6.0	1.0	1.0	0.0	0.0	0.0	3.0	15.0	2.0	5.0	0.0	0.0	8.0	7.0	3.0	1.0	1.0	18.0	1.0	0.0	2.0	0.0	6.0	1.0	2.0	3.0	1.0	1.0	2.0	1.0	11.0	4.0	1.0	2.0	0.0	3.0	51.0	5.0	4.0	1.0	12.0	56.0	3.0	7.0	11.0	21.0	1.0	37.0	33.0	2.0	53.0	1.0	2.0	9.0	12.0	2.0	12.0	3.0	51.0	4.0	2.0	13.0	0.0	4.0	0.0	1.0	12.0	7.0	2.0	4.0	7.0	1.0	8.0	24.0	10.0	2.0	1.0	1.0	1.0	40.0	17.0	1.0	10.0	3.0	1.0	6.0	2.0	3.0	19.0	0.0	2.0	2.0	2.0	1.0	31.0	11.0	6.0	12.0	3.0	29.0	16.0	7.0	4.0	0.0	28.0	22.0	9.0	3.0	41.0	6.0	6.0	3.0	13.0	3.0	1.0	1.0	11.0	3.0	1.0	10.0	0.0	9.0	1.0	5.0	20.0	0.0	5.0	2.0	9.0	1.0	2.0	18.0	3.0	2.0	9.0	25.0	0.0	6.0	4.0	13.0	3.0	10.0	4.0	5.0	1.0	4.0	2.0	2.0	14.0	1.0	1.0	11.0	10.0	12.0
BAL_Kl_2015_GCF_003335005	BAL	Kl	92.0	2.0	1.0	1.0	1.0	1.0	8.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	4.0	1.0	2.0	0.0	4.0	4.0	2.0	2.0	0.0	2.0	37.0	3.0	1.0	1.0	0.0	0.0	0.0	2.0	14.0	2.0	4.0	0.0	0.0	3.0	5.0	3.0	1.0	1.0	12.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	9.0	4.0	1.0	2.0	0.0	3.0	44.0	5.0	3.0	1.0	9.0	42.0	3.0	5.0	11.0	18.0	1.0	29.0	26.0	2.0	47.0	1.0	1.0	4.0	11.0	2.0	12.0	3.0	34.0	5.0	2.0	11.0	0.0	2.0	0.0	1.0	11.0	5.0	1.0	3.0	4.0	1.0	7.0	22.0	10.0	2.0	1.0	1.0	1.0	31.0	16.0	1.0	9.0	4.0	1.0	2.0	2.0	3.0	10.0	0.0	3.0	2.0	2.0	1.0	27.0	6.0	7.0	13.0	3.0	23.0	9.0	5.0	3.0	0.0	26.0	19.0	8.0	3.0	37.0	3.0	6.0	2.0	12.0	3.0	1.0	1.0	10.0	3.0	1.0	5.0	0.0	9.0	1.0	3.0	19.0	0.0	4.0	2.0	8.0	1.0	2.0	16.0	3.0	2.0	4.0	25.0	0.0	6.0	4.0	11.0	2.0	10.0	4.0	5.0	1.0	3.0	2.0	1.0	10.0	1.0	1.0	3.0	4.0	7.0
BAL_Kl_2015_GCF_003335025	BAL	Kl	66.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	3.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	0.0	2.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	10.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	35.0	3.0	4.0	10.0	16.0	1.0	24.0	26.0	2.0	38.0	1.0	1.0	2.0	7.0	1.0	11.0	3.0	27.0	4.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	5.0	1.0	3.0	4.0	1.0	5.0	20.0	8.0	1.0	1.0	1.0	1.0	23.0	15.0	1.0	7.0	4.0	1.0	1.0	2.0	3.0	8.0	0.0	3.0	2.0	2.0	1.0	24.0	6.0	7.0	10.0	2.0	18.0	4.0	3.0	3.0	0.0	23.0	14.0	7.0	3.0	35.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	9.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	15.0	3.0	2.0	2.0	23.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	9.0	1.0	1.0	2.0	3.0	4.0
BAL_Kl_2015_GCF_003335065	BAL	Kl	96.0	2.0	1.0	1.0	1.0	1.0	11.0	0.0	0.0	1.0	0.0	6.0	1.0	4.0	2.0	4.0	5.0	1.0	2.0	0.0	4.0	3.0	3.0	2.0	0.0	2.0	51.0	5.0	1.0	1.0	0.0	0.0	0.0	2.0	13.0	2.0	5.0	0.0	0.0	4.0	6.0	3.0	1.0	1.0	13.0	1.0	0.0	2.0	0.0	6.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	10.0	4.0	1.0	1.0	0.0	3.0	47.0	5.0	3.0	1.0	8.0	50.0	3.0	4.0	12.0	19.0	1.0	30.0	34.0	2.0	45.0	1.0	2.0	4.0	9.0	1.0	12.0	3.0	40.0	6.0	2.0	12.0	0.0	2.0	0.0	1.0	11.0	7.0	2.0	4.0	7.0	1.0	7.0	24.0	11.0	1.0	1.0	1.0	1.0	36.0	17.0	1.0	8.0	3.0	1.0	3.0	2.0	3.0	11.0	0.0	2.0	2.0	2.0	1.0	27.0	9.0	7.0	11.0	3.0	22.0	10.0	4.0	4.0	0.0	26.0	16.0	9.0	3.0	39.0	4.0	6.0	3.0	12.0	3.0	1.0	1.0	8.0	3.0	1.0	7.0	0.0	9.0	1.0	2.0	19.0	0.0	5.0	1.0	10.0	1.0	2.0	17.0	3.0	2.0	5.0	22.0	0.0	6.0	4.0	13.0	3.0	9.0	4.0	4.0	1.0	4.0	2.0	2.0	8.0	1.0	1.0	7.0	6.0	6.0
BAL_Kl_2015_GCF_003345685	BAL	Kl	117.0	2.0	1.0	1.0	1.0	1.0	14.0	0.0	0.0	1.0	0.0	6.0	1.0	4.0	2.0	4.0	5.0	1.0	2.0	0.0	6.0	4.0	3.0	2.0	0.0	4.0	77.0	6.0	1.0	1.0	0.0	0.0	0.0	3.0	13.0	2.0	5.0	0.0	0.0	6.0	6.0	3.0	1.0	1.0	15.0	1.0	0.0	2.0	0.0	7.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	11.0	4.0	1.0	2.0	0.0	3.0	46.0	5.0	3.0	1.0	18.0	50.0	3.0	7.0	12.0	22.0	1.0	40.0	33.0	2.0	60.0	1.0	2.0	11.0	13.0	4.0	12.0	3.0	59.0	5.0	2.0	14.0	0.0	4.0	0.0	1.0	13.0	7.0	2.0	4.0	4.0	1.0	7.0	24.0	10.0	6.0	1.0	1.0	1.0	42.0	17.0	1.0	10.0	4.0	1.0	6.0	2.0	3.0	16.0	0.0	3.0	2.0	2.0	1.0	35.0	7.0	11.0	14.0	3.0	31.0	16.0	11.0	4.0	0.0	28.0	24.0	8.0	3.0	46.0	6.0	6.0	3.0	13.0	3.0	1.0	1.0	11.0	3.0	1.0	7.0	0.0	10.0	1.0	6.0	21.0	0.0	5.0	2.0	9.0	1.0	2.0	18.0	3.0	2.0	9.0	26.0	0.0	6.0	4.0	13.0	3.0	9.0	4.0	5.0	1.0	4.0	2.0	2.0	16.0	1.0	1.0	8.0	13.0	10.0
