	City	Taxon	1	2	3	4	5	6	7
BAL_Kl_2015_GCF_003334885	BAL	Kl	291.0	344.0	270.0	140.0	85.0	69.0	37.0
BAL_Kl_2015_GCF_003334895	BAL	Kl	273.0	350.0	251.0	134.0	85.0	65.0	30.0
BAL_Kl_2015_GCF_003334925	BAL	Kl	374.0	412.0	305.0	154.0	95.0	72.0	57.0
BAL_Kl_2015_GCF_003334945	BAL	Kl	372.0	427.0	306.0	153.0	96.0	70.0	58.0
BAL_Kl_2015_GCF_003334955	BAL	Kl	345.0	387.0	288.0	150.0	90.0	67.0	46.0
BAL_Kl_2015_GCF_003334965	BAL	Kl	360.0	413.0	308.0	151.0	96.0	71.0	57.0
BAL_Kl_2015_GCF_003335005	BAL	Kl	269.0	335.0	252.0	135.0	79.0	68.0	32.0
BAL_Kl_2015_GCF_003335025	BAL	Kl	214.0	283.0	209.0	115.0	66.0	64.0	25.0
BAL_Kl_2015_GCF_003335065	BAL	Kl	299.0	359.0	267.0	135.0	84.0	66.0	37.0
BAL_Kl_2015_GCF_003345685	BAL	Kl	363.0	434.0	323.0	157.0	96.0	71.0	57.0
BAL_Kl_2015_GCF_003345715	BAL	Kl	374.0	445.0	323.0	155.0	98.0	69.0	51.0
BAL_Kl_2015_GCF_003345765	BAL	Kl	375.0	449.0	323.0	154.0	98.0	69.0	52.0
BAL_Kl_2017_GCF_003860845	BAL	Kl	210.0	276.0	208.0	111.0	65.0	62.0	23.0
BAL_Kl_2017_GCF_003860885	BAL	Kl	215.0	278.0	207.0	111.0	67.0	62.0	21.0
BAL_Kl_2017_GCF_003860895	BAL	Kl	209.0	274.0	202.0	112.0	64.0	62.0	20.0
BAL_Kl_2017_GCF_003860985	BAL	Kl	213.0	276.0	205.0	109.0	66.0	62.0	26.0
BAL_Kl_2017_GCF_003860995	BAL	Kl	215.0	281.0	212.0	111.0	70.0	62.0	25.0
BAL_Kl_2017_GCF_003861035	BAL	Kl	212.0	280.0	205.0	111.0	68.0	62.0	24.0
BAL_Kl_2017_GCF_003861085	BAL	Kl	214.0	278.0	215.0	112.0	68.0	62.0	29.0
BAL_Kl_2017_GCF_003861135	BAL	Kl	216.0	282.0	209.0	111.0	67.0	62.0	24.0
BAL_Kl_2017_GCF_003861255	BAL	Kl	209.0	279.0	207.0	111.0	65.0	62.0	23.0
BAL_Kl_2017_GCF_003861365	BAL	Kl	213.0	268.0	200.0	110.0	65.0	61.0	21.0
BAL_Kl_2017_GCF_003861425	BAL	Kl	210.0	280.0	207.0	112.0	65.0	62.0	22.0
BAL_Kl_2017_GCF_003861435	BAL	Kl	218.0	282.0	210.0	113.0	67.0	62.0	28.0
BAL_Kl_2017_GCF_003861475	BAL	Kl	211.0	283.0	207.0	113.0	67.0	62.0	20.0
BAL_Kl_2017_GCF_003861575	BAL	Kl	214.0	274.0	205.0	111.0	65.0	62.0	22.0
MIN_Es_2017_GCF_013423565	MIN	Es	329.0	416.0	289.0	158.0	96.0	68.0	44.0
MIN_Es_2017_GCF_013423645	MIN	Es	328.0	406.0	291.0	154.0	93.0	69.0	47.0
NYC_En_2015_GCF_029069505	NYC	En	289.0	385.0	284.0	132.0	91.0	69.0	45.0
NYC_En_2015_GCF_029069575	NYC	En	311.0	400.0	288.0	135.0	84.0	67.0	43.0
NYC_En_2015_GCF_029069675	NYC	En	311.0	399.0	288.0	134.0	84.0	67.0	43.0
NYC_En_2015_GCF_029069825	NYC	En	307.0	396.0	286.0	134.0	84.0	67.0	41.0
NYC_En_2015_GCF_029070195	NYC	En	302.0	407.0	290.0	136.0	83.0	67.0	47.0
NYC_En_2015_GCF_029075245	NYC	En	300.0	400.0	299.0	135.0	93.0	68.0	51.0
NYC_En_2016_GCF_020783935	NYC	En	187.0	261.0	188.0	100.0	63.0	62.0	22.0
NYC_En_2016_GCF_029069745	NYC	En	306.0	395.0	292.0	136.0	88.0	67.0	49.0
NYC_Es_2015_GCF_027584315	NYC	Es	188.0	275.0	185.0	104.0	64.0	61.0	21.0
NYC_Es_2015_GCF_027584335	NYC	Es	208.0	271.0	185.0	106.0	60.0	62.0	20.0
NYC_Es_2016_GCF_002214205	NYC	Es	196.0	273.0	187.0	109.0	65.0	62.0	18.0
NYC_Es_2018_GCF_022569415	NYC	Es	193.0	271.0	181.0	107.0	63.0	62.0	21.0
NYC_Es_2018_GCF_022812305	NYC	Es	335.0	404.0	288.0	152.0	91.0	69.0	46.0
NYC_Es_2018_GCF_022812315	NYC	Es	331.0	406.0	287.0	146.0	94.0	69.0	48.0
